coach_id,play_calling,game_management,player_development,talent_evaluation,leadership,adaptability,aggressiveness,discipline,motivation,staff_management,scheme_innovation,clock_management,data_class
CCH0067,60,59,88,67,64,77,77,57,73,75,60,59,MODELED
CCH0068,33,45,57,44,60,44,50,55,62,37,52,51,MODELED
CCH0069,52,72,65,73,58,67,59,73,58,67,59,67,MODELED
CCH0070,66,80,76,77,77,76,89,74,74,63,84,84,MODELED
CCH0071,52,82,90,76,92,83,71,79,78,82,86,80,MODELED
CCH0072,37,67,70,50,49,56,50,67,46,49,55,59,MODELED
CCH0073,48,66,63,82,67,60,45,80,46,54,68,73,MODELED
CCH0074,40,61,71,55,60,43,60,56,55,57,45,64,MODELED
CCH0075,46,54,55,57,40,67,41,50,56,56,69,33,MODELED
CCH0076,61,88,75,92,87,99,81,84,93,91,82,98,MODELED
CCH0077,84,78,82,74,81,53,63,80,85,69,91,60,MODELED
CCH0078,90,78,75,89,71,91,89,87,83,75,97,97,MODELED
CCH0079,74,55,55,58,71,63,57,68,72,52,67,54,MODELED
CCH0080,36,79,59,53,55,74,63,76,48,66,50,55,MODELED
CCH0081,59,80,66,78,81,74,61,78,70,77,67,61,MODELED
CCH0082,45,62,78,83,53,74,77,89,68,68,81,71,MODELED
CCH0083,75,84,74,79,78,67,57,68,76,72,61,58,MODELED
CCH0084,39,66,89,45,79,53,72,80,83,63,65,68,MODELED
CCH0085,30,40,81,46,67,65,42,45,58,61,42,48,MODELED
CCH0086,44,41,61,61,59,68,51,57,54,51,60,48,MODELED
CCH0087,43,52,67,73,55,74,73,66,75,70,61,59,MODELED
CCH0088,57,63,71,56,47,56,64,56,67,54,71,75,MODELED
CCH0089,46,67,76,82,77,57,64,67,83,77,67,95,MODELED
CCH0090,54,72,63,51,61,66,63,57,56,50,45,53,MODELED
CCH0091,74,85,79,87,85,83,76,90,75,96,68,78,MODELED
CCH0092,89,89,78,79,82,69,85,83,67,90,95,79,MODELED
CCH0093,84,74,93,74,66,65,60,64,73,81,74,80,MODELED
CCH0094,59,62,58,63,62,62,63,70,68,61,75,59,MODELED
CCH0095,39,56,45,46,41,60,61,58,49,45,48,61,MODELED
CCH0096,50,67,83,42,65,53,61,76,57,67,73,52,MODELED
CCH0097,22,45,31,39,41,39,37,41,69,41,50,42,MODELED
CCH0098,27,42,51,44,50,55,37,50,58,64,78,38,MODELED
CCH0099,64,85,63,59,63,63,69,70,73,67,74,50,MODELED
CCH0100,32,42,48,43,61,59,48,35,56,40,34,45,MODELED
CCH0101,51,65,56,49,76,59,66,53,89,56,55,65,MODELED
CCH0102,41,70,92,69,90,76,67,67,63,65,82,83,MODELED
CCH0103,53,45,67,68,59,70,56,58,71,57,69,52,MODELED
CCH0104,51,64,72,69,63,67,65,57,59,68,67,66,MODELED
CCH0105,42,51,58,66,52,52,45,33,44,53,60,44,MODELED
CCH0106,88,99,97,85,99,99,99,99,99,99,99,99,MODELED
CCH0107,96,71,69,87,65,69,57,74,85,68,75,61,MODELED
CCH0108,85,67,73,58,66,66,71,60,82,64,64,66,MODELED
CCH0109,97,79,80,66,81,81,76,82,79,83,76,94,MODELED
CCH0110,66,65,89,61,73,68,81,75,74,75,69,80,MODELED
CCH0111,62,77,61,64,61,72,67,84,53,61,63,69,MODELED
CCH0112,68,68,84,67,69,55,88,79,78,79,58,73,MODELED
CCH0113,49,79,68,72,63,72,58,86,65,70,72,54,MODELED
CCH0114,60,70,84,65,74,80,81,63,76,74,90,81,MODELED
CCH0115,55,77,72,49,60,60,63,51,77,63,66,59,MODELED
CCH0116,67,90,68,90,69,75,85,56,73,73,85,65,MODELED
CCH0117,57,77,71,78,85,70,72,84,76,78,71,67,MODELED
CCH0118,51,67,61,66,60,65,63,51,57,61,77,54,MODELED
CCH0119,44,52,76,55,65,69,62,49,54,70,61,57,MODELED
CCH0120,69,57,49,63,59,67,62,55,57,54,52,60,MODELED
CCH0121,63,84,56,68,77,57,54,71,49,68,60,77,MODELED
CCH0122,74,65,77,68,55,61,42,72,66,64,58,57,MODELED
CCH0123,60,69,65,60,60,70,57,71,68,60,73,85,MODELED
CCH0124,60,53,43,45,53,46,47,56,51,48,61,55,MODELED
CCH0125,60,50,71,56,52,52,53,70,73,75,52,61,MODELED
CCH0126,66,61,61,63,57,61,79,57,72,65,51,54,MODELED
CCH0127,44,56,63,54,71,61,59,56,43,56,66,67,MODELED
CCH0128,50,60,64,60,55,50,42,59,55,55,54,64,MODELED
CCH0129,27,46,55,46,41,63,59,60,69,37,49,41,MODELED
CCH0130,52,37,49,50,45,48,54,50,44,66,68,56,MODELED
CCH0131,49,64,74,72,79,73,80,81,85,64,59,73,MODELED
CCH0132,33,77,50,34,65,47,43,65,57,52,55,50,MODELED
CCH0133,48,60,66,68,64,65,75,54,92,66,68,64,MODELED
CCH0134,43,68,65,64,70,49,61,48,66,40,44,67,MODELED
CCH0135,69,51,80,48,86,63,69,69,81,58,62,77,MODELED
CCH0136,66,72,83,96,75,72,84,84,64,65,58,95,MODELED
CCH0137,93,78,62,76,57,89,63,72,81,70,92,90,MODELED
CCH0138,72,39,57,58,66,54,54,52,61,57,72,63,MODELED
CCH0139,99,63,87,84,97,73,99,81,86,99,84,85,MODELED
CCH0140,53,83,85,66,78,68,87,75,81,71,66,56,MODELED
CCH0141,54,65,56,57,52,55,63,63,62,79,76,62,MODELED
CCH0142,65,69,82,69,72,70,78,80,79,78,63,75,MODELED
CCH0143,58,58,80,71,52,68,52,66,70,56,60,42,MODELED
CCH0144,52,60,69,55,84,63,64,58,49,69,61,67,MODELED
CCH0145,50,78,88,68,79,81,59,68,69,98,70,78,MODELED
CCH0146,45,49,64,28,48,46,69,54,46,55,59,58,MODELED
CCH0147,55,64,86,72,67,58,53,73,78,65,75,76,MODELED
CCH0148,65,62,83,74,72,66,72,57,77,92,89,70,MODELED
CCH0149,41,60,62,71,44,53,70,44,49,53,62,47,MODELED
CCH0150,45,63,51,38,71,69,60,50,44,66,43,66,MODELED
CCH0151,76,88,82,77,76,96,72,68,61,84,70,86,MODELED
CCH0152,77,62,61,59,58,61,66,56,57,63,47,72,MODELED
CCH0153,88,65,64,74,66,70,80,62,60,63,81,71,MODELED
CCH0154,54,59,58,58,62,66,62,49,69,42,49,73,MODELED
CCH0155,55,72,69,69,61,66,66,87,74,67,57,70,MODELED
CCH0156,37,57,57,65,47,50,58,64,50,50,50,41,MODELED
CCH0157,33,50,77,39,42,50,44,63,56,56,70,75,MODELED
CCH0158,79,66,93,82,88,91,99,88,85,89,91,83,MODELED
CCH0159,33,57,57,53,50,38,56,49,48,54,65,63,MODELED
CCH0160,83,93,97,99,86,69,88,83,76,92,79,90,MODELED
CCH0161,51,72,72,68,68,58,79,71,88,71,75,88,MODELED
CCH0162,43,58,72,55,64,69,54,70,69,61,68,46,MODELED
CCH0163,47,67,78,77,63,71,78,82,85,58,69,67,MODELED
CCH0164,53,58,63,76,53,65,76,55,60,65,80,67,MODELED
CCH0165,55,75,62,57,54,55,60,58,64,47,54,46,MODELED
CCH0166,92,83,76,70,95,88,93,86,83,81,78,86,MODELED
CCH0167,78,82,65,66,84,75,70,86,54,73,64,67,MODELED
CCH0168,95,68,99,99,84,99,78,99,81,80,99,90,MODELED
CCH0169,51,65,67,51,67,50,57,61,69,64,58,49,MODELED
CCH0170,42,66,78,76,61,75,69,43,62,68,86,50,MODELED
CCH0171,62,68,83,85,86,76,81,75,67,77,69,77,MODELED
CCH0172,41,62,77,77,55,67,60,68,64,56,62,52,MODELED
CCH0173,46,63,83,68,68,57,74,50,63,76,75,69,MODELED
CCH0174,50,70,78,72,64,83,82,68,79,65,62,76,MODELED
CCH0175,39,58,75,51,43,55,53,54,55,40,52,53,MODELED
CCH0176,63,73,99,71,85,66,73,76,62,65,60,70,MODELED
CCH0177,52,77,63,85,71,61,74,57,78,75,75,69,MODELED
CCH0178,60,67,77,68,60,50,79,63,76,73,71,71,MODELED
CCH0179,55,77,71,70,48,65,54,63,56,68,68,75,MODELED
CCH0180,74,82,89,79,76,65,81,65,87,54,84,77,MODELED
CCH0181,91,99,83,85,98,95,89,99,93,99,92,97,MODELED
CCH0182,68,69,78,62,60,63,65,67,61,85,49,78,MODELED
CCH0183,89,82,57,68,72,67,91,88,64,65,88,76,MODELED
CCH0184,80,61,76,52,73,69,68,69,42,65,74,73,MODELED
CCH0185,37,51,78,58,60,56,66,54,65,51,61,66,MODELED
CCH0186,58,71,70,61,63,78,55,80,65,61,55,65,MODELED
CCH0187,60,65,66,45,59,62,66,48,57,57,70,68,MODELED
CCH0188,40,44,49,46,51,36,41,37,37,36,69,47,MODELED
CCH0189,75,69,80,85,75,71,84,87,69,92,85,95,MODELED
CCH0190,41,61,68,58,61,39,57,60,49,66,67,56,MODELED
CCH0191,56,82,69,85,61,48,77,87,73,54,69,70,MODELED
CCH0192,53,67,76,69,68,40,47,59,62,73,77,48,MODELED
CCH0193,36,38,53,39,48,52,68,68,50,54,38,43,MODELED
CCH0194,54,79,42,61,57,79,79,68,72,67,70,71,MODELED
CCH0195,38,38,65,57,51,54,67,58,56,53,49,42,MODELED
CCH0196,99,89,94,90,99,84,91,76,99,84,76,98,MODELED
CCH0197,89,69,74,69,79,89,87,68,77,90,72,78,MODELED
CCH0198,99,94,99,82,87,99,86,99,99,99,92,95,MODELED
CCH0199,82,99,77,78,77,95,84,74,81,90,86,93,MODELED
CCH0200,53,80,73,81,64,77,73,86,76,89,70,72,MODELED
CCH0201,51,62,62,54,59,63,52,70,62,44,62,69,MODELED
CCH0202,57,55,76,63,77,72,64,72,62,71,65,70,MODELED
CCH0203,57,80,84,71,81,90,62,63,72,62,67,60,MODELED
CCH0204,58,65,88,86,66,55,68,59,53,81,67,64,MODELED
CCH0205,85,65,84,85,79,80,93,77,78,75,86,88,MODELED
CCH0206,44,52,75,60,81,65,55,60,68,64,56,52,MODELED
CCH0207,59,72,84,72,66,68,67,67,57,88,70,52,MODELED
CCH0208,79,65,87,70,79,71,70,64,62,56,68,67,MODELED
CCH0209,52,61,73,66,68,72,67,75,71,80,79,67,MODELED
CCH0210,66,71,79,72,77,60,71,74,74,56,64,76,MODELED
CCH0211,82,93,63,70,95,73,83,81,82,99,71,82,MODELED
CCH0212,99,91,92,93,99,84,88,76,90,91,99,87,MODELED
CCH0213,74,63,64,69,80,59,66,64,69,67,71,61,MODELED
CCH0214,71,47,62,59,49,65,52,51,50,56,50,44,MODELED
CCH0215,54,49,67,57,73,67,55,49,51,64,50,54,MODELED
CCH0216,61,53,70,46,52,63,53,61,50,69,58,50,MODELED
CCH0217,43,51,76,60,58,53,58,79,63,68,68,57,MODELED
CCH0218,59,57,64,67,69,67,55,82,78,60,70,54,MODELED
CCH0219,56,72,67,67,61,75,59,59,65,49,37,68,MODELED
CCH0220,37,64,57,43,69,54,62,56,67,60,67,53,MODELED
CCH0221,64,74,75,65,70,62,69,61,52,69,70,55,MODELED
CCH0222,40,70,60,51,69,46,57,54,70,52,68,48,MODELED
CCH0223,37,69,76,57,82,51,52,50,52,76,56,67,MODELED
CCH0224,71,81,90,71,84,81,60,59,63,61,69,58,MODELED
CCH0225,72,75,99,66,78,82,93,75,90,86,92,72,MODELED
CCH0226,87,81,79,80,87,80,67,87,80,92,82,99,MODELED
CCH0227,72,73,72,82,69,71,88,84,61,84,91,85,MODELED
CCH0228,88,77,73,73,64,66,71,72,80,66,68,72,MODELED
CCH0229,80,68,75,79,74,71,89,67,66,60,83,69,MODELED
CCH0230,38,62,76,46,56,51,52,53,48,47,59,60,MODELED
CCH0231,63,85,69,76,66,61,62,74,71,60,70,84,MODELED
CCH0232,53,53,82,78,72,59,84,72,70,64,66,59,MODELED
CCH0233,67,93,63,61,74,62,45,63,67,57,56,62,MODELED
CCH0234,47,49,60,57,46,64,57,54,43,35,51,58,MODELED
CCH0235,48,79,80,56,65,64,78,57,92,47,83,83,MODELED
CCH0236,45,64,78,63,55,75,68,57,51,54,53,64,MODELED
CCH0237,58,48,70,71,80,66,54,57,71,65,65,59,MODELED
CCH0238,38,60,53,56,50,39,58,55,45,67,61,51,MODELED
CCH0239,68,90,88,83,89,89,75,83,99,80,97,95,MODELED
CCH0240,41,47,48,54,51,47,56,42,63,49,38,50,MODELED
CCH0241,60,65,58,76,81,76,77,78,82,75,81,66,MODELED
CCH0242,73,59,37,56,46,49,46,56,58,36,50,44,MODELED
CCH0243,80,73,66,80,99,75,73,75,78,76,78,68,MODELED
CCH0244,81,55,45,55,58,57,56,53,77,49,72,58,MODELED
CCH0245,49,55,47,45,39,63,62,53,44,60,60,60,MODELED
CCH0246,34,55,51,53,50,50,30,47,42,39,48,68,MODELED
CCH0247,33,56,59,43,52,61,48,42,54,74,46,62,MODELED
CCH0248,55,74,66,70,76,63,75,76,63,71,67,77,MODELED
CCH0249,77,49,64,67,65,88,57,56,59,70,54,78,MODELED
CCH0250,47,81,76,72,66,65,67,83,64,73,73,76,MODELED
CCH0251,60,71,88,55,84,70,46,77,59,67,57,50,MODELED
CCH0252,49,53,64,47,62,57,65,53,44,60,74,65,MODELED
CCH0253,35,67,54,56,59,49,65,44,66,65,61,63,MODELED
CCH0254,55,76,62,47,72,61,50,49,70,49,62,56,MODELED
CCH0255,58,65,62,85,68,63,79,65,67,64,65,89,MODELED
CCH0256,90,93,90,85,96,75,81,77,74,99,64,89,MODELED
CCH0257,85,60,75,68,48,59,72,74,59,77,97,90,MODELED
CCH0258,80,65,69,86,77,76,78,77,76,88,75,77,MODELED
CCH0259,72,53,63,81,61,64,65,67,69,56,67,77,MODELED
CCH0260,71,89,88,82,77,78,79,92,88,93,74,94,MODELED
CCH0261,37,55,60,73,71,66,70,63,68,63,68,58,MODELED
CCH0262,42,59,71,68,53,64,58,63,56,63,55,61,MODELED
CCH0263,59,67,71,77,79,74,59,71,66,76,72,75,MODELED
CCH0264,39,52,78,60,70,68,55,50,62,53,41,77,MODELED
CCH0265,64,77,83,78,68,69,85,70,51,62,61,51,MODELED
CCH0266,70,87,78,87,81,71,91,97,84,87,80,91,MODELED
CCH0267,78,77,98,77,61,80,82,69,69,74,79,77,MODELED
CCH0268,54,65,75,72,71,69,57,65,55,81,69,58,MODELED
CCH0269,38,41,61,52,72,61,58,63,63,56,74,66,MODELED
CCH0270,30,44,73,69,46,53,69,42,56,53,54,58,MODELED
CCH0271,96,99,91,77,94,79,89,99,93,93,78,91,MODELED
CCH0272,98,78,64,64,63,65,65,83,83,69,73,46,MODELED
CCH0273,69,62,70,64,56,57,65,64,57,56,55,58,MODELED
CCH0274,78,72,71,65,81,61,64,57,53,63,84,55,MODELED
CCH0275,62,69,61,60,68,46,67,50,59,56,66,67,MODELED
CCH0276,41,61,56,61,54,59,47,59,66,68,65,55,MODELED
CCH0277,38,40,52,41,42,53,63,59,45,56,50,42,MODELED
CCH0278,51,69,68,67,53,50,71,46,58,59,72,57,MODELED
CCH0279,24,55,54,46,38,47,45,38,46,43,34,47,MODELED
CCH0280,45,57,68,58,56,52,73,58,63,61,54,62,MODELED
CCH0281,59,94,82,77,83,86,77,55,69,88,83,60,MODELED
CCH0282,55,53,57,74,56,60,65,68,55,53,58,63,MODELED
CCH0283,37,51,73,52,56,57,46,47,63,62,50,50,MODELED
CCH0284,52,33,60,70,62,47,40,58,43,53,55,64,MODELED
CCH0285,33,53,40,46,47,43,39,65,43,55,54,53,MODELED
CCH0286,88,84,87,91,99,93,99,94,96,99,86,78,MODELED
CCH0287,85,75,78,63,72,73,79,74,73,69,71,72,MODELED
CCH0288,83,74,66,57,63,69,79,68,66,64,63,64,MODELED
CCH0289,81,60,72,54,82,77,56,77,65,74,76,68,MODELED
CCH0290,47,71,80,50,66,67,69,68,72,79,58,67,MODELED
CCH0291,53,68,61,67,48,58,60,49,41,58,75,67,MODELED
CCH0292,55,60,66,53,70,56,66,52,60,40,49,56,MODELED
CCH0293,43,58,57,56,43,68,52,81,58,54,47,55,MODELED
CCH0294,54,58,75,64,60,86,63,63,67,70,63,55,MODELED
CCH0295,49,56,60,70,40,61,63,58,74,80,59,77,MODELED
CCH0296,20,49,56,36,58,43,39,27,47,44,42,43,MODELED
CCH0297,41,60,65,61,71,65,79,71,61,65,67,77,MODELED
CCH0298,34,48,53,57,43,40,53,49,62,53,36,49,MODELED
CCH0299,37,44,45,53,47,57,46,35,39,50,43,50,MODELED
CCH0300,45,90,83,77,61,56,71,80,70,80,53,71,MODELED
CCH0301,84,97,78,98,99,80,73,67,84,82,85,88,MODELED
CCH0302,85,72,68,83,63,73,62,78,64,85,62,81,MODELED
CCH0303,80,69,71,76,78,58,79,83,74,67,60,52,MODELED
CCH0304,99,76,92,85,93,92,89,91,99,88,89,77,MODELED
CCH0305,48,59,81,74,63,48,78,51,72,64,57,60,MODELED
CCH0306,81,88,76,77,71,84,86,79,79,89,73,86,MODELED
CCH0307,46,58,91,76,52,57,70,79,49,69,57,74,MODELED
CCH0308,47,85,74,63,78,74,79,62,74,74,72,82,MODELED
CCH0309,39,52,59,48,57,58,55,47,52,42,53,55,MODELED
CCH0310,64,54,54,42,58,73,51,64,34,54,64,63,MODELED
CCH0311,49,53,67,61,53,57,55,51,47,54,44,52,MODELED
CCH0312,57,56,81,51,50,70,70,50,52,55,52,62,MODELED
CCH0313,44,56,53,63,58,71,60,46,64,57,67,54,MODELED
CCH0314,67,68,79,62,58,77,57,72,66,74,67,86,MODELED
CCH0315,65,84,78,68,65,64,82,62,74,83,84,74,MODELED
CCH0316,82,99,95,99,99,77,73,99,92,87,63,99,MODELED
CCH0317,86,67,82,74,70,55,63,72,75,51,81,57,MODELED
CCH0318,92,70,74,84,75,68,73,82,86,79,99,67,MODELED
CCH0319,73,72,67,72,50,73,75,59,80,84,77,68,MODELED
CCH0320,63,56,85,53,54,61,60,49,58,51,61,81,MODELED
CCH0321,70,80,87,74,77,79,86,70,82,70,68,57,MODELED
CCH0322,54,82,85,87,68,63,79,77,80,73,72,68,MODELED
CCH0323,46,69,87,61,83,59,85,73,81,68,73,72,MODELED
CCH0324,46,65,78,57,76,76,75,45,62,69,63,60,MODELED
CCH0325,34,59,66,45,60,64,44,63,45,58,67,49,MODELED
CCH0326,48,66,77,67,51,47,46,50,55,59,75,67,MODELED
CCH0327,45,70,53,36,63,69,59,68,71,57,70,66,MODELED
CCH0328,45,73,67,64,55,75,58,75,64,51,59,58,MODELED
CCH0329,38,53,56,61,55,43,50,48,45,61,70,55,MODELED
CCH0330,36,56,59,46,44,67,64,69,50,54,70,70,MODELED
CCH0331,99,99,99,85,99,96,95,83,94,99,90,95,MODELED
CCH0332,81,65,47,92,81,71,76,74,65,64,73,67,MODELED
CCH0333,74,60,75,80,89,74,58,47,60,81,72,54,MODELED
CCH0334,68,70,64,60,56,64,70,57,55,57,65,62,MODELED
CCH0335,51,65,69,74,62,72,57,62,71,67,60,68,MODELED
CCH0336,50,77,89,78,66,74,89,86,84,74,69,72,MODELED
CCH0337,68,78,99,87,78,72,66,92,66,90,87,99,MODELED
CCH0338,42,50,50,37,57,36,54,39,54,46,35,38,MODELED
CCH0339,46,48,56,44,34,46,61,50,43,49,60,57,MODELED
CCH0340,46,46,47,56,60,51,43,63,66,48,57,64,MODELED
CCH0341,66,64,99,69,81,82,73,58,62,99,78,68,MODELED
CCH0342,56,89,90,70,91,87,70,84,78,73,79,78,MODELED
CCH0343,68,52,76,77,59,64,59,65,66,55,58,51,MODELED
CCH0344,66,57,80,68,73,89,63,84,73,48,66,69,MODELED
CCH0345,59,64,62,58,63,72,73,67,63,44,53,55,MODELED
CCH0346,94,81,79,74,96,79,86,89,76,99,87,99,MODELED
CCH0347,85,82,66,54,67,78,69,65,56,65,76,77,MODELED
CCH0348,95,74,96,74,79,71,90,86,90,87,82,70,MODELED
CCH0349,80,78,86,68,88,76,83,81,69,79,82,88,MODELED
CCH0350,72,56,76,61,72,76,47,52,53,79,66,74,MODELED
CCH0351,56,85,84,78,70,75,72,66,49,65,80,64,MODELED
CCH0352,37,55,80,53,45,64,49,30,49,45,55,74,MODELED
CCH0353,20,53,88,34,43,39,20,48,34,31,54,60,MODELED
CCH0354,59,57,68,62,74,69,51,49,69,69,63,74,MODELED
CCH0355,30,66,65,58,55,49,59,33,61,65,52,54,MODELED
CCH0356,65,59,62,65,70,72,67,50,74,64,45,55,MODELED
CCH0357,51,61,77,58,71,56,44,69,52,52,76,49,MODELED
CCH0358,48,64,67,77,81,62,65,66,71,58,51,80,MODELED
CCH0359,69,52,68,67,60,77,54,78,51,61,61,54,MODELED
CCH0360,26,38,61,55,43,49,48,44,37,40,15,45,MODELED
CCH0361,99,99,99,96,99,84,98,99,99,96,89,99,MODELED
CCH0362,88,94,55,87,76,92,67,76,93,99,99,78,MODELED
CCH0363,99,99,95,97,92,95,81,89,99,99,99,94,MODELED
CCH0364,64,39,73,55,52,50,50,58,51,65,61,61,MODELED
CCH0365,62,76,74,84,80,83,76,72,48,76,70,77,MODELED
CCH0366,24,45,46,38,46,56,56,38,63,43,52,53,MODELED
CCH0367,45,62,60,53,39,62,65,50,55,51,49,57,MODELED
CCH0368,36,55,40,59,52,54,59,50,50,55,45,43,MODELED
CCH0369,30,80,63,59,56,71,64,52,54,59,63,76,MODELED
CCH0370,76,68,91,66,76,84,83,72,54,57,83,83,MODELED
CCH0371,43,68,57,48,39,57,47,56,70,59,44,59,MODELED
CCH0372,46,72,77,60,53,63,64,70,61,54,61,51,MODELED
CCH0373,53,60,78,64,56,34,64,58,60,62,66,59,MODELED
CCH0374,47,66,64,45,53,67,55,38,53,62,60,51,MODELED
CCH0375,73,85,92,84,99,93,98,99,94,87,81,86,MODELED
CCH0376,82,81,91,82,99,82,75,72,56,95,65,80,MODELED
CCH0377,58,68,60,48,71,75,58,74,64,66,74,75,MODELED
CCH0378,59,50,59,39,39,41,57,49,39,48,45,36,MODELED
CCH0379,94,92,85,79,84,70,74,67,72,83,90,76,MODELED
CCH0380,53,63,71,62,77,67,59,75,72,66,59,76,MODELED
CCH0381,51,65,64,66,50,43,57,58,53,59,49,48,MODELED
CCH0382,53,72,90,77,58,69,78,62,85,54,77,70,MODELED
CCH0383,49,81,69,53,64,75,63,57,76,79,78,62,MODELED
CCH0384,67,48,79,60,59,58,55,65,63,72,71,51,MODELED
CCH0385,39,64,86,70,50,71,58,60,50,67,54,44,MODELED
CCH0386,73,78,96,92,83,74,83,85,79,75,92,93,MODELED
CCH0387,52,66,75,60,54,69,79,57,68,74,53,64,MODELED
CCH0388,26,61,53,65,43,49,39,62,51,55,48,54,MODELED
CCH0389,35,62,60,51,75,40,74,66,53,58,74,78,MODELED
CCH0390,53,82,76,75,76,72,65,63,67,74,72,62,MODELED
CCH0391,86,82,78,75,99,95,81,79,86,87,78,87,MODELED
CCH0392,74,53,67,71,53,69,63,63,79,72,87,70,MODELED
CCH0393,87,77,75,54,69,70,74,64,70,80,93,68,MODELED
CCH0394,76,70,72,81,85,82,79,77,84,84,99,99,MODELED
CCH0395,78,56,60,71,57,83,64,74,76,68,87,61,MODELED
