contract_id,player_id,team_id,contract_type,start_year,end_year,years_total,years_remaining,total_value,average_annual_value,base_salary_2026,signing_bonus_total,bonus_proration_2026,roster_bonus_2026,guaranteed_money,cap_hit_2026,dead_cap_if_cut_2026,no_trade_clause,contract_status,data_class
CTR00018,BUF_WR_08,BUF,UDFA,2025,2027,3,2,2520000,840000,756000,626595,208865,0,50400,964865,417730,0,ACTIVE,MODELED
CTR00019,BUF_WR_09,BUF,ROOKIE_SCALE,2024,2027,4,2,3860000,965000,814927,600290,150073,0,965000,965000,300145,0,ACTIVE,MODELED
CTR00020,BUF_WR_10,BUF,VETERAN_MINIMUM,2024,2026,3,1,3090000,1030000,1030000,0,0,0,154500,1030000,0,0,ACTIVE,MODELED
CTR00021,BUF_WR_11,BUF,UDFA,2026,2028,3,3,2520000,840000,756000,614217,204739,0,50400,960739,614217,0,ACTIVE,MODELED
CTR00022,BUF_TE_01,BUF,VETERAN_MINIMUM,2026,2026,1,1,1420000,1420000,1420000,0,0,0,71000,1420000,0,0,ACTIVE,MODELED
CTR00023,BUF_TE_02,BUF,VETERAN_MINIMUM,2026,2026,1,1,1210000,1210000,1210000,0,0,0,60500,1210000,0,0,ACTIVE,MODELED
CTR00024,BUF_TE_03,BUF,VETERAN,2026,2027,2,2,6889589,3444795,3124143,641303,320651,0,1826122,3444795,641303,0,ACTIVE,MODELED
CTR00025,BUF_TE_04,BUF,VETERAN_MINIMUM,2024,2026,3,1,3390000,1130000,1130000,0,0,0,169500,1130000,0,0,ACTIVE,MODELED
CTR00026,BUF_TE_05,BUF,VETERAN_MINIMUM,2026,2026,1,1,1130000,1130000,1130000,0,0,0,56500,1130000,0,0,ACTIVE,MODELED
CTR00027,BUF_TE_06,BUF,VETERAN_MINIMUM,2026,2028,3,3,3090000,1030000,1030000,0,0,0,154500,1030000,0,0,ACTIVE,MODELED
CTR00028,BUF_OT_01,BUF,VETERAN,2026,2026,1,1,2182833,2182833,1739192,443641,443641,65485,343000,2248318,443641,0,ACTIVE,MODELED
CTR00029,BUF_OT_02,BUF,VETERAN,2026,2028,3,3,28636846,9545615,8491143,3163418,1054473,0,14692472,9545615,3163418,0,ACTIVE,MODELED
CTR00030,BUF_OT_03,BUF,VETERAN,2026,2026,1,1,3222949,3222949,2742143,480806,480806,0,1914002,3222949,480806,0,ACTIVE,MODELED
CTR00031,BUF_OT_04,BUF,VETERAN_MINIMUM,2026,2027,2,2,2420000,1210000,1210000,0,0,0,121000,1210000,0,0,ACTIVE,MODELED
CTR00032,BUF_OT_05,BUF,VETERAN_MINIMUM,2026,2026,1,1,1130000,1130000,1130000,0,0,0,56500,1130000,0,0,ACTIVE,MODELED
CTR00033,BUF_OT_06,BUF,ROOKIE_SCALE,2024,2027,4,2,9000000,2250000,1690385,2238458,559615,0,4950000,2250000,1119229,0,ACTIVE,MODELED
CTR00034,BUF_OG_01,BUF,VETERAN_MINIMUM,2025,2026,2,1,2735972,1367986,1367986,0,0,0,136799,1367986,0,0,ACTIVE,MODELED
CTR00035,BUF_OG_02,BUF,ROOKIE_SCALE,2024,2028,5,3,49647595,9929519,7606555,11614819,2322964,0,49647595,9929519,6968891,0,ACTIVE,MODELED
CTR00036,BUF_OG_03,BUF,VETERAN_MINIMUM,2026,2026,1,1,1130000,1130000,1130000,0,0,0,56500,1130000,0,0,ACTIVE,MODELED
CTR00037,BUF_OG_04,BUF,VETERAN_MINIMUM,2025,2026,2,1,2420000,1210000,1210000,0,0,0,121000,1210000,0,0,ACTIVE,MODELED
CTR00038,BUF_OG_05,BUF,UDFA,2026,2028,3,3,2520000,840000,756000,638501,212834,0,50400,968834,638501,0,ACTIVE,MODELED
CTR00039,BUF_OG_06,BUF,ROOKIE_SCALE,2024,2027,4,2,3980000,995000,905568,357726,89432,0,995000,995000,178863,0,ACTIVE,MODELED
CTR00040,BUF_C_01,BUF,VETERAN,2026,2026,1,1,2003011,2003011,1514810,488200,488200,0,936881,2003011,488200,0,ACTIVE,MODELED
CTR00041,BUF_C_02,BUF,UDFA,2026,2028,3,3,2520000,840000,756000,533646,177882,0,50400,933882,533646,0,ACTIVE,MODELED
CTR00042,BUF_C_03,BUF,VETERAN_MINIMUM,2026,2026,1,1,1330000,1330000,1330000,0,0,0,66500,1330000,0,0,ACTIVE,MODELED
CTR00043,BUF_EDGE_01,BUF,VETERAN,2026,2026,1,1,23838840,23838840,14649908,9188932,9188932,715165,12640795,24554005,9188932,0,ACTIVE,MODELED
CTR00044,BUF_EDGE_02,BUF,VETERAN,2026,2026,1,1,6455310,6455310,4844187,1611123,1611123,0,2859535,6455310,1611123,0,ACTIVE,MODELED
CTR00045,BUF_EDGE_03,BUF,VETERAN_MINIMUM,2026,2028,3,3,3630000,1210000,1210000,0,0,0,181500,1210000,0,0,ACTIVE,MODELED
CTR00046,BUF_EDGE_04,BUF,VETERAN_MINIMUM,2026,2027,2,2,2777857,1388928,1388928,0,0,0,138893,1388928,0,0,ACTIVE,MODELED
CTR00047,BUF_EDGE_05,BUF,VETERAN,2026,2026,1,1,2007831,2007831,1463396,544436,544436,0,927219,2007831,544436,0,ACTIVE,MODELED
CTR00048,BUF_EDGE_06,BUF,UDFA,2026,2028,3,3,2520000,840000,756000,798547,266182,0,50400,1022182,798547,0,ACTIVE,MODELED
CTR00049,BUF_EDGE_07,BUF,VETERAN_MINIMUM,2026,2028,3,3,3390000,1130000,1130000,0,0,0,169500,1130000,0,0,ACTIVE,MODELED
CTR00050,BUF_EDGE_08,BUF,ROOKIE_SCALE,2024,2027,4,2,3980000,995000,756000,983438,245860,0,995000,1001860,491719,0,ACTIVE,MODELED
CTR00051,BUF_EDGE_09,BUF,VETERAN_MINIMUM,2026,2027,2,2,2060000,1030000,1030000,0,0,0,103000,1030000,0,0,ACTIVE,MODELED
CTR00052,BUF_DT_01,BUF,VETERAN_MINIMUM,2026,2027,2,2,2984299,1492150,1492150,0,0,0,149215,1492150,0,0,ACTIVE,MODELED
CTR00053,BUF_DT_02,BUF,VETERAN,2025,2027,3,2,5881306,1960435,1226830,2200818,733606,176439,2880344,2136875,1467212,0,ACTIVE,MODELED
CTR00054,BUF_DT_03,BUF,ROOKIE_SCALE,2024,2027,4,2,3860000,965000,756000,1065594,266398,0,965000,1022398,532797,0,ACTIVE,MODELED
CTR00055,BUF_DT_04,BUF,VETERAN,2024,2027,4,2,20848102,5212025,4067074,4579807,1144952,0,6697089,5212025,2289903,0,ACTIVE,MODELED
CTR00056,BUF_DT_05,BUF,VETERAN,2025,2026,2,1,3660879,1830439,1515937,629005,314503,0,1770421,1830439,314503,0,ACTIVE,MODELED
CTR00057,BUF_DT_06,BUF,VETERAN_MINIMUM,2026,2026,1,1,1130000,1130000,1130000,0,0,0,56500,1130000,0,0,ACTIVE,MODELED
CTR00058,BUF_DT_07,BUF,UDFA,2026,2028,3,3,2520000,840000,756000,541890,180630,0,50400,936630,541890,0,ACTIVE,MODELED
CTR00059,BUF_DT_08,BUF,ROOKIE_SCALE,2024,2027,4,2,3860000,965000,853833,444666,111167,0,965000,965000,222333,0,ACTIVE,MODELED
CTR00060,BUF_LB_01,BUF,VETERAN_MINIMUM,2026,2027,2,2,2660000,1330000,1330000,0,0,0,133000,1330000,0,0,ACTIVE,MODELED
CTR00061,BUF_LB_02,BUF,VETERAN,2025,2026,2,1,2917233,1458616,1052819,811595,405798,87517,1162163,1546133,405798,0,ACTIVE,MODELED
CTR00062,BUF_LB_03,BUF,VETERAN_MINIMUM,2026,2026,1,1,1030000,1030000,1030000,0,0,0,51500,1030000,0,0,ACTIVE,MODELED
CTR00063,BUF_LB_04,BUF,VETERAN,2026,2026,1,1,1575269,1575269,1163830,411439,411439,0,492877,1575269,411439,0,ACTIVE,MODELED
CTR00064,BUF_LB_05,BUF,VETERAN_MINIMUM,2026,2026,1,1,1330000,1330000,1330000,0,0,0,66500,1330000,0,0,ACTIVE,MODELED
CTR00065,BUF_LB_06,BUF,VETERAN_MINIMUM,2025,2026,2,1,2060000,1030000,1030000,0,0,0,103000,1030000,0,0,ACTIVE,MODELED
CTR00066,BUF_LB_07,BUF,VETERAN_MINIMUM,2026,2026,1,1,1030000,1030000,1030000,0,0,0,51500,1030000,0,0,ACTIVE,MODELED
CTR00067,BUF_LB_08,BUF,ROOKIE_SCALE,2026,2029,4,4,3860000,965000,819051,583796,145949,0,965000,965000,583796,0,ACTIVE,MODELED
CTR00068,BUF_CB_01,BUF,VETERAN_MINIMUM,2026,2026,1,1,1330000,1330000,1330000,0,0,0,66500,1330000,0,0,ACTIVE,MODELED
CTR00069,BUF_CB_02,BUF,ROOKIE_SCALE,2024,2027,4,2,4760000,1190000,892987,1188050,297013,0,1190000,1190000,594025,0,ACTIVE,MODELED
CTR00070,BUF_CB_03,BUF,VETERAN,2025,2026,2,1,4895924,2447962,1737143,1421637,710819,0,2461128,2447962,710819,0,ACTIVE,MODELED
CTR00071,BUF_CB_04,BUF,VETERAN_MINIMUM,2026,2027,2,2,2420000,1210000,1210000,0,0,0,121000,1210000,0,0,ACTIVE,MODELED
CTR00072,BUF_CB_05,BUF,VETERAN_MINIMUM,2026,2028,3,3,3630000,1210000,1210000,0,0,0,181500,1210000,0,0,ACTIVE,MODELED
CTR00073,BUF_CB_06,BUF,VETERAN_MINIMUM,2025,2026,2,1,2840000,1420000,1420000,0,0,0,142000,1420000,0,0,ACTIVE,MODELED
CTR00074,BUF_CB_07,BUF,VETERAN,2026,2026,1,1,1693028,1693028,1114845,578183,578183,50791,858789,1743819,578183,0,ACTIVE,MODELED
CTR00075,BUF_CB_08,BUF,VETERAN_MINIMUM,2025,2026,2,1,2420000,1210000,1210000,0,0,0,121000,1210000,0,0,ACTIVE,MODELED
CTR00076,BUF_CB_09,BUF,ROOKIE_SCALE,2026,2029,4,4,4240000,1060000,794712,1061153,265288,0,1060000,1060000,1061153,0,ACTIVE,MODELED
CTR00077,BUF_CB_10,BUF,ROOKIE_SCALE,2023,2026,4,1,4240000,1060000,929728,521089,130272,0,1060000,1060000,130272,0,ACTIVE,MODELED
CTR00078,BUF_CB_11,BUF,UDFA,2025,2027,3,2,2520000,840000,756000,611536,203845,0,50400,959845,407691,0,ACTIVE,MODELED
CTR00079,BUF_S_01,BUF,VETERAN_MINIMUM,2024,2026,3,1,3889877,1296626,1296626,0,0,0,194494,1296626,0,0,ACTIVE,MODELED
CTR00080,BUF_S_02,BUF,VETERAN,2026,2027,2,2,14151211,7075606,5772407,2606398,1303199,0,10012171,7075606,2606398,0,ACTIVE,MODELED
CTR00081,BUF_S_03,BUF,VETERAN_MINIMUM,2026,2026,1,1,1130000,1130000,1130000,0,0,0,56500,1130000,0,0,ACTIVE,MODELED
CTR00082,BUF_S_04,BUF,VETERAN_MINIMUM,2026,2027,2,2,2660000,1330000,1330000,0,0,0,133000,1330000,0,0,ACTIVE,MODELED
CTR00083,BUF_S_05,BUF,VETERAN_MINIMUM,2026,2027,2,2,2060000,1030000,1030000,0,0,0,103000,1030000,0,0,ACTIVE,MODELED
CTR00084,BUF_S_06,BUF,ROOKIE_SCALE,2023,2026,4,1,4240000,1060000,756000,1361895,340474,0,1060000,1096474,340474,0,ACTIVE,MODELED
CTR00085,BUF_S_07,BUF,VETERAN_MINIMUM,2026,2027,2,2,2060000,1030000,1030000,0,0,0,103000,1030000,0,0,ACTIVE,MODELED
CTR00086,BUF_K_01,BUF,VETERAN_MINIMUM,2026,2027,2,2,2840000,1420000,1420000,0,0,0,142000,1420000,0,0,ACTIVE,MODELED
CTR00087,BUF_K_02,BUF,VETERAN_MINIMUM,2025,2029,5,4,6050000,1210000,1210000,0,0,0,302500,1210000,0,0,ACTIVE,MODELED
CTR00088,BUF_P_01,BUF,VETERAN_MINIMUM,2026,2026,1,1,1330000,1330000,1330000,0,0,0,66500,1330000,0,0,ACTIVE,MODELED
CTR00089,BUF_P_02,BUF,UDFA,2024,2026,3,1,2520000,840000,756000,754217,251406,0,50400,1007406,251406,0,ACTIVE,MODELED
CTR00090,BUF_LS_01,BUF,VETERAN_MINIMUM,2025,2026,2,1,2660000,1330000,1330000,0,0,0,133000,1330000,0,0,ACTIVE,MODELED
CTR00091,MIA_QB_01,MIA,VETERAN,2026,2026,1,1,2579182,2579182,1884348,694834,694834,0,1497115,2579182,694834,0,ACTIVE,MODELED
CTR00092,MIA_QB_02,MIA,VETERAN_MINIMUM,2026,2027,2,2,2660000,1330000,1330000,0,0,0,133000,1330000,0,0,ACTIVE,MODELED
CTR00093,MIA_QB_03,MIA,VETERAN_MINIMUM,2025,2027,3,2,3090000,1030000,1030000,0,0,0,154500,1030000,0,0,ACTIVE,MODELED
CTR00094,MIA_QB_04,MIA,ROOKIE_SCALE,2026,2029,4,4,4240000,1060000,853403,826389,206597,0,1060000,1060000,826389,0,ACTIVE,MODELED
CTR00095,MIA_RB_01,MIA,VETERAN_MINIMUM,2025,2027,3,2,3990000,1330000,1330000,0,0,0,199500,1330000,0,0,ACTIVE,MODELED
CTR00096,MIA_RB_02,MIA,VETERAN_MINIMUM,2026,2027,2,2,2260000,1130000,1130000,0,0,0,113000,1130000,0,0,ACTIVE,MODELED
CTR00097,MIA_RB_03,MIA,VETERAN_MINIMUM,2026,2026,1,1,1030000,1030000,1030000,0,0,0,51500,1030000,0,0,ACTIVE,MODELED
CTR00098,MIA_RB_04,MIA,ROOKIE_SCALE,2025,2028,4,3,4240000,1060000,855262,818952,204738,0,1060000,1060000,614214,0,ACTIVE,MODELED
CTR00099,MIA_RB_05,MIA,VETERAN_MINIMUM,2025,2026,2,1,2060000,1030000,1030000,0,0,0,103000,1030000,0,0,ACTIVE,MODELED
CTR00100,MIA_FB_01,MIA,VETERAN_MINIMUM,2026,2027,2,2,2660000,1330000,1330000,0,0,0,133000,1330000,0,0,ACTIVE,MODELED
CTR00101,MIA_WR_01,MIA,VETERAN,2024,2026,3,1,18301936,6100645,4295268,5416132,1805377,549058,8113597,6649703,1805377,0,ACTIVE,MODELED
CTR00102,MIA_WR_02,MIA,VETERAN_MINIMUM,2026,2029,4,4,5302591,1325648,1325648,0,0,0,265130,1325648,0,0,ACTIVE,MODELED
CTR00103,MIA_WR_03,MIA,VETERAN,2026,2026,1,1,2698901,2698901,2257046,441855,441855,0,1132853,2698901,441855,0,ACTIVE,MODELED
CTR00104,MIA_WR_04,MIA,VETERAN_MINIMUM,2026,2026,1,1,1420000,1420000,1420000,0,0,0,71000,1420000,0,0,ACTIVE,MODELED
CTR00105,MIA_WR_05,MIA,VETERAN_MINIMUM,2026,2026,1,1,1420000,1420000,1420000,0,0,0,71000,1420000,0,0,ACTIVE,MODELED
CTR00106,MIA_WR_06,MIA,VETERAN,2026,2027,2,2,8267815,4133907,2804635,2658544,1329272,248034,0,4381942,2658544,0,ACTIVE,MODELED
CTR00107,MIA_WR_07,MIA,VETERAN_MINIMUM,2026,2027,2,2,2660000,1330000,1330000,0,0,0,133000,1330000,0,0,ACTIVE,MODELED
CTR00108,MIA_WR_08,MIA,VETERAN_MINIMUM,2025,2026,2,1,2260000,1130000,1130000,0,0,0,113000,1130000,0,0,ACTIVE,MODELED
CTR00109,MIA_WR_09,MIA,UDFA,2026,2028,3,3,2520000,840000,756000,614456,204819,0,50400,960819,614456,0,ACTIVE,MODELED
CTR00110,MIA_WR_10,MIA,ROOKIE_SCALE,2024,2027,4,2,4240000,1060000,756000,1222220,305555,0,1060000,1061555,611110,0,ACTIVE,MODELED
CTR00111,MIA_WR_11,MIA,ROOKIE_SCALE,2023,2026,4,1,3860000,965000,756000,1331501,332875,0,965000,1088875,332875,0,ACTIVE,MODELED
CTR00112,MIA_TE_01,MIA,VETERAN_MINIMUM,2024,2026,3,1,3390000,1130000,1130000,0,0,0,169500,1130000,0,0,ACTIVE,MODELED
CTR00113,MIA_TE_02,MIA,VETERAN,2024,2027,4,2,13685400,3421350,2355815,4262140,1065535,0,4655132,3421350,2131070,0,ACTIVE,MODELED
CTR00114,MIA_TE_03,MIA,ROOKIE_SCALE,2023,2026,4,1,4760000,1190000,1063113,507549,126887,0,1190000,1190000,126887,0,ACTIVE,MODELED
CTR00115,MIA_TE_04,MIA,ROOKIE_SCALE,2023,2026,4,1,3860000,965000,756000,854198,213549,0,965000,969549,213549,0,ACTIVE,MODELED
CTR00116,MIA_TE_05,MIA,ROOKIE_SCALE,2024,2027,4,2,3860000,965000,802912,648351,162088,0,965000,965000,324175,0,ACTIVE,MODELED
CTR00117,MIA_TE_06,MIA,VETERAN_MINIMUM,2024,2027,4,2,4120000,1030000,1030000,0,0,0,206000,1030000,0,0,ACTIVE,MODELED
CTR00118,MIA_OT_01,MIA,VETERAN_MINIMUM,2026,2026,1,1,1030000,1030000,1030000,0,0,0,51500,1030000,0,0,ACTIVE,MODELED
CTR00119,MIA_OT_02,MIA,VETERAN_MINIMUM,2025,2027,3,2,4075582,1358527,1358527,0,0,0,203779,1358527,0,0,ACTIVE,MODELED
CTR00120,MIA_OT_03,MIA,VETERAN_MINIMUM,2026,2026,1,1,1330000,1330000,1330000,0,0,0,66500,1330000,0,0,ACTIVE,MODELED
CTR00121,MIA_OT_04,MIA,VETERAN,2024,2026,3,1,6207219,2069073,1540569,1585512,528504,186217,2509435,2255289,528504,0,ACTIVE,MODELED
CTR00122,MIA_OT_05,MIA,VETERAN_MINIMUM,2025,2029,5,4,5150000,1030000,1030000,0,0,0,257500,1030000,0,0,ACTIVE,MODELED
CTR00123,MIA_OT_06,MIA,VETERAN_MINIMUM,2024,2026,3,1,3630000,1210000,1210000,0,0,0,181500,1210000,0,0,ACTIVE,MODELED
CTR00124,MIA_OG_01,MIA,VETERAN_MINIMUM,2026,2026,1,1,1330000,1330000,1330000,0,0,0,66500,1330000,0,0,ACTIVE,MODELED
CTR00125,MIA_OG_02,MIA,VETERAN_MINIMUM,2025,2026,2,1,2840000,1420000,1420000,0,0,0,142000,1420000,0,0,ACTIVE,MODELED
CTR00126,MIA_OG_03,MIA,VETERAN_MINIMUM,2024,2026,3,1,3630000,1210000,1210000,0,0,0,181500,1210000,0,0,ACTIVE,MODELED
CTR00127,MIA_OG_04,MIA,VETERAN_MINIMUM,2024,2026,3,1,3990000,1330000,1330000,0,0,0,199500,1330000,0,0,ACTIVE,MODELED
CTR00128,MIA_OG_05,MIA,VETERAN_MINIMUM,2026,2026,1,1,1030000,1030000,1030000,0,0,0,51500,1030000,0,0,ACTIVE,MODELED
CTR00129,MIA_OG_06,MIA,ROOKIE_SCALE,2024,2027,4,2,3980000,995000,861638,533448,133362,0,995000,995000,266724,0,ACTIVE,MODELED
CTR00130,MIA_C_01,MIA,VETERAN_MINIMUM,2025,2026,2,1,2840000,1420000,1420000,0,0,0,142000,1420000,0,0,ACTIVE,MODELED
CTR00131,MIA_C_02,MIA,UDFA,2026,2028,3,3,2520000,840000,756000,507152,169051,0,50400,925051,507152,0,ACTIVE,MODELED
CTR00132,MIA_C_03,MIA,VETERAN_MINIMUM,2026,2027,2,2,2420000,1210000,1210000,0,0,0,121000,1210000,0,0,ACTIVE,MODELED
CTR00133,MIA_EDGE_01,MIA,VETERAN,2026,2027,2,2,12791166,6395583,4207323,4376520,2188260,383735,5385675,6779318,4376520,0,ACTIVE,MODELED
CTR00134,MIA_EDGE_02,MIA,VETERAN_MINIMUM,2026,2026,1,1,1420000,1420000,1420000,0,0,0,71000,1420000,0,0,ACTIVE,MODELED
CTR00135,MIA_EDGE_03,MIA,VETERAN_MINIMUM,2026,2027,2,2,2660000,1330000,1330000,0,0,0,133000,1330000,0,0,ACTIVE,MODELED
CTR00136,MIA_EDGE_04,MIA,VETERAN_MINIMUM,2023,2027,5,2,6650000,1330000,1330000,0,0,0,332500,1330000,0,0,ACTIVE,MODELED
CTR00137,MIA_EDGE_05,MIA,VETERAN_MINIMUM,2024,2026,3,1,3390000,1130000,1130000,0,0,0,169500,1130000,0,0,ACTIVE,MODELED
CTR00138,MIA_EDGE_06,MIA,ROOKIE_SCALE,2025,2028,4,3,4240000,1060000,929788,520847,130212,0,1060000,1060000,390635,0,ACTIVE,MODELED
CTR00139,MIA_EDGE_07,MIA,UDFA,2025,2027,3,2,2520000,840000,756000,685640,228547,0,50400,984547,457093,0,ACTIVE,MODELED
CTR00140,MIA_EDGE_08,MIA,VETERAN_MINIMUM,2026,2026,1,1,1030000,1030000,1030000,0,0,0,51500,1030000,0,0,ACTIVE,MODELED
CTR00141,MIA_EDGE_09,MIA,VETERAN_MINIMUM,2026,2026,1,1,1030000,1030000,1030000,0,0,0,51500,1030000,0,0,ACTIVE,MODELED
CTR00142,MIA_DT_01,MIA,VETERAN,2024,2026,3,1,11977358,3992453,2494586,4493599,1497866,359321,4737002,4351773,1497866,0,ACTIVE,MODELED
CTR00143,MIA_DT_02,MIA,VETERAN,2025,2027,3,2,8685302,2895101,2398558,1489626,496542,0,6366138,2895101,993084,0,ACTIVE,MODELED
CTR00144,MIA_DT_03,MIA,VETERAN_MINIMUM,2026,2026,1,1,1330000,1330000,1330000,0,0,0,66500,1330000,0,0,ACTIVE,MODELED
CTR00145,MIA_DT_04,MIA,VETERAN,2026,2026,1,1,3724922,3724922,2961376,763545,763545,111748,173689,3836669,763545,0,ACTIVE,MODELED
CTR00146,MIA_DT_05,MIA,VETERAN,2026,2026,1,1,2277442,2277442,2016134,261308,261308,68323,1527075,2345765,261308,0,ACTIVE,MODELED
CTR00147,MIA_DT_06,MIA,VETERAN_MINIMUM,2026,2026,1,1,1030000,1030000,1030000,0,0,0,51500,1030000,0,0,ACTIVE,MODELED
CTR00148,MIA_DT_07,MIA,VETERAN_MINIMUM,2026,2028,3,3,3390000,1130000,1130000,0,0,0,169500,1130000,0,0,ACTIVE,MODELED
CTR00149,MIA_DT_08,MIA,VETERAN_MINIMUM,2026,2026,1,1,1030000,1030000,1030000,0,0,0,51500,1030000,0,0,ACTIVE,MODELED
CTR00150,MIA_LB_01,MIA,VETERAN_MINIMUM,2026,2029,4,4,4120000,1030000,1030000,0,0,0,206000,1030000,0,0,ACTIVE,MODELED
CTR00151,MIA_LB_02,MIA,VETERAN_MINIMUM,2026,2026,1,1,1330000,1330000,1330000,0,0,0,66500,1330000,0,0,ACTIVE,MODELED
CTR00152,MIA_LB_03,MIA,VETERAN,2026,2026,1,1,1710117,1710117,1327358,382758,382758,51303,840115,1761420,382758,0,ACTIVE,MODELED
CTR00153,MIA_LB_04,MIA,VETERAN_MINIMUM,2026,2026,1,1,1130000,1130000,1130000,0,0,0,56500,1130000,0,0,ACTIVE,MODELED
CTR00154,MIA_LB_05,MIA,VETERAN_MINIMUM,2025,2027,3,2,3390000,1130000,1130000,0,0,0,169500,1130000,0,0,ACTIVE,MODELED
CTR00155,MIA_LB_06,MIA,UDFA,2024,2026,3,1,2520000,840000,756000,890964,296988,0,50400,1052988,296988,0,ACTIVE,MODELED
CTR00156,MIA_LB_07,MIA,VETERAN_MINIMUM,2026,2026,1,1,1130000,1130000,1130000,0,0,0,56500,1130000,0,0,ACTIVE,MODELED
CTR00157,MIA_LB_08,MIA,ROOKIE_SCALE,2026,2029,4,4,3980000,995000,759836,940657,235164,0,995000,995000,940657,0,ACTIVE,MODELED
CTR00158,MIA_CB_01,MIA,VETERAN,2026,2026,1,1,2914507,2914507,2342320,572186,572186,0,1222371,2914507,572186,0,ACTIVE,MODELED
CTR00159,MIA_CB_02,MIA,VETERAN,2026,2026,1,1,1954627,1954627,1381758,572869,572869,0,1004309,1954627,572869,0,ACTIVE,MODELED
CTR00160,MIA_CB_03,MIA,VETERAN,2025,2026,2,1,14439725,7219862,5654213,3131298,1565649,0,5105436,7219862,1565649,0,ACTIVE,MODELED
CTR00161,MIA_CB_04,MIA,VETERAN_MINIMUM,2026,2028,3,3,3390000,1130000,1130000,0,0,0,169500,1130000,0,0,ACTIVE,MODELED
CTR00162,MIA_CB_05,MIA,VETERAN_MINIMUM,2025,2026,2,1,2060000,1030000,1030000,0,0,0,103000,1030000,0,0,ACTIVE,MODELED
CTR00163,MIA_CB_06,MIA,ROOKIE_SCALE,2024,2027,4,2,3980000,995000,770930,896278,224070,0,995000,995000,448139,0,ACTIVE,MODELED
CTR00164,MIA_CB_07,MIA,VETERAN_MINIMUM,2026,2026,1,1,1210000,1210000,1210000,0,0,0,60500,1210000,0,0,ACTIVE,MODELED
CTR00165,MIA_CB_08,MIA,VETERAN_MINIMUM,2026,2026,1,1,1210000,1210000,1210000,0,0,0,60500,1210000,0,0,ACTIVE,MODELED
CTR00166,MIA_CB_09,MIA,UDFA,2024,2026,3,1,2520000,840000,756000,512128,170709,0,50400,926709,170709,0,ACTIVE,MODELED
