pick_id,draft_year,round,pick_in_round,overall_pick,original_team_id,current_owner_team_id,compensatory,data_class
DP2027R2P01,2027,2,1,33,MIA,MIA,0,GENERATED
DP2027R2P02,2027,2,2,34,BUF,BUF,0,GENERATED
DP2027R2P03,2027,2,3,35,HOU,BUF,0,GENERATED
DP2027R2P04,2027,2,4,36,NE,NE,0,GENERATED
DP2027R2P05,2027,2,5,37,NYG,NYG,0,GENERATED
DP2027R2P06,2027,2,6,38,LAC,LAC,0,GENERATED
DP2027R2P07,2027,2,7,39,BAL,BAL,0,GENERATED
DP2027R2P08,2027,2,8,40,ARI,ARI,0,GENERATED
DP2027R2P09,2027,2,9,41,WAS,WAS,0,GENERATED
DP2027R2P10,2027,2,10,42,DAL,DAL,0,GENERATED
DP2027R2P11,2027,2,11,43,CHI,CHI,0,GENERATED
DP2027R2P12,2027,2,12,44,IND,IND,0,GENERATED
DP2027R2P13,2027,2,13,45,TB,TB,0,GENERATED
DP2027R2P14,2027,2,14,46,PHI,NYG,0,GENERATED
DP2027R2P15,2027,2,15,47,CLE,CLE,0,GENERATED
DP2027R2P16,2027,2,16,48,SEA,DEN,0,GENERATED
DP2027R2P17,2027,2,17,49,CIN,CIN,0,GENERATED
DP2027R2P18,2027,2,18,50,MIN,MIN,0,GENERATED
DP2027R2P19,2027,2,19,51,LAR,LAR,0,GENERATED
DP2027R2P20,2027,2,20,52,JAX,JAX,0,GENERATED
DP2027R2P21,2027,2,21,53,NYJ,NYJ,0,GENERATED
DP2027R2P22,2027,2,22,54,TEN,TEN,0,GENERATED
DP2027R2P23,2027,2,23,55,DEN,DEN,0,GENERATED
DP2027R2P24,2027,2,24,56,LV,TEN,0,GENERATED
DP2027R2P25,2027,2,25,57,ATL,ATL,0,GENERATED
DP2027R2P26,2027,2,26,58,SF,SF,0,GENERATED
DP2027R2P27,2027,2,27,59,GB,GB,0,GENERATED
DP2027R2P28,2027,2,28,60,NO,NO,0,GENERATED
DP2027R2P29,2027,2,29,61,CAR,CAR,0,GENERATED
DP2027R2P30,2027,2,30,62,KC,MIN,0,GENERATED
DP2027R2P31,2027,2,31,63,PIT,PIT,0,GENERATED
DP2027R2P32,2027,2,32,64,DET,DET,0,GENERATED
DP2027R3P01,2027,3,1,65,MIA,MIA,0,GENERATED
DP2027R3P02,2027,3,2,66,BUF,BUF,0,GENERATED
DP2027R3P03,2027,3,3,67,HOU,HOU,0,GENERATED
DP2027R3P04,2027,3,4,68,NE,NE,0,GENERATED
DP2027R3P05,2027,3,5,69,NYG,NYG,0,GENERATED
DP2027R3P06,2027,3,6,70,LAC,LAC,0,GENERATED
DP2027R3P07,2027,3,7,71,BAL,BAL,0,GENERATED
DP2027R3P08,2027,3,8,72,ARI,ARI,0,GENERATED
DP2027R3P09,2027,3,9,73,WAS,WAS,0,GENERATED
DP2027R3P10,2027,3,10,74,DAL,DAL,0,GENERATED
DP2027R3P11,2027,3,11,75,CHI,CHI,0,GENERATED
DP2027R3P12,2027,3,12,76,IND,IND,0,GENERATED
DP2027R3P13,2027,3,13,77,TB,TB,0,GENERATED
DP2027R3P14,2027,3,14,78,PHI,PHI,0,GENERATED
DP2027R3P15,2027,3,15,79,CLE,WAS,0,GENERATED
DP2027R3P16,2027,3,16,80,SEA,SEA,0,GENERATED
DP2027R3P17,2027,3,17,81,CIN,CIN,0,GENERATED
DP2027R3P18,2027,3,18,82,MIN,MIN,0,GENERATED
DP2027R3P19,2027,3,19,83,LAR,LAR,0,GENERATED
DP2027R3P20,2027,3,20,84,JAX,JAX,0,GENERATED
DP2027R3P21,2027,3,21,85,NYJ,NYJ,0,GENERATED
DP2027R3P22,2027,3,22,86,TEN,TEN,0,GENERATED
DP2027R3P23,2027,3,23,87,DEN,DEN,0,GENERATED
DP2027R3P24,2027,3,24,88,LV,LV,0,GENERATED
DP2027R3P25,2027,3,25,89,ATL,ATL,0,GENERATED
DP2027R3P26,2027,3,26,90,SF,SF,0,GENERATED
DP2027R3P27,2027,3,27,91,GB,GB,0,GENERATED
DP2027R3P28,2027,3,28,92,NO,NO,0,GENERATED
DP2027R3P29,2027,3,29,93,CAR,CAR,0,GENERATED
DP2027R3P30,2027,3,30,94,KC,KC,0,GENERATED
DP2027R3P31,2027,3,31,95,PIT,PIT,0,GENERATED
DP2027R3P32,2027,3,32,96,DET,DET,0,GENERATED
DP2027R4P01,2027,4,1,97,MIA,MIA,0,GENERATED
DP2027R4P02,2027,4,2,98,BUF,LAR,0,GENERATED
DP2027R4P03,2027,4,3,99,HOU,HOU,0,GENERATED
DP2027R4P04,2027,4,4,100,NE,NE,0,GENERATED
DP2027R4P05,2027,4,5,101,NYG,NYG,0,GENERATED
DP2027R4P06,2027,4,6,102,LAC,LAC,0,GENERATED
DP2027R4P07,2027,4,7,103,BAL,BAL,0,GENERATED
DP2027R4P08,2027,4,8,104,ARI,ARI,0,GENERATED
DP2027R4P09,2027,4,9,105,WAS,WAS,0,GENERATED
DP2027R4P10,2027,4,10,106,DAL,DAL,0,GENERATED
DP2027R4P11,2027,4,11,107,CHI,CHI,0,GENERATED
DP2027R4P12,2027,4,12,108,IND,IND,0,GENERATED
DP2027R4P13,2027,4,13,109,TB,TB,0,GENERATED
DP2027R4P14,2027,4,14,110,PHI,PHI,0,GENERATED
DP2027R4P15,2027,4,15,111,CLE,CLE,0,GENERATED
DP2027R4P16,2027,4,16,112,SEA,SEA,0,GENERATED
DP2027R4P17,2027,4,17,113,CIN,CLE,0,GENERATED
DP2027R4P18,2027,4,18,114,MIN,MIN,0,GENERATED
DP2027R4P19,2027,4,19,115,LAR,LAR,0,GENERATED
DP2027R4P20,2027,4,20,116,JAX,JAX,0,GENERATED
DP2027R4P21,2027,4,21,117,NYJ,NYJ,0,GENERATED
DP2027R4P22,2027,4,22,118,TEN,TEN,0,GENERATED
DP2027R4P23,2027,4,23,119,DEN,DEN,0,GENERATED
DP2027R4P24,2027,4,24,120,LV,LV,0,GENERATED
DP2027R4P25,2027,4,25,121,ATL,ATL,0,GENERATED
DP2027R4P26,2027,4,26,122,SF,SF,0,GENERATED
DP2027R4P27,2027,4,27,123,GB,GB,0,GENERATED
DP2027R4P28,2027,4,28,124,NO,NO,0,GENERATED
DP2027R4P29,2027,4,29,125,CAR,CAR,0,GENERATED
DP2027R4P30,2027,4,30,126,KC,KC,0,GENERATED
DP2027R4P31,2027,4,31,127,PIT,PIT,0,GENERATED
DP2027R4P32,2027,4,32,128,DET,DET,0,GENERATED
DP2027R5P01,2027,5,1,129,MIA,MIA,0,GENERATED
DP2027R5P02,2027,5,2,130,BUF,BUF,0,GENERATED
DP2027R5P03,2027,5,3,131,HOU,HOU,0,GENERATED
DP2027R5P04,2027,5,4,132,NE,NE,0,GENERATED
DP2027R5P05,2027,5,5,133,NYG,NYG,0,GENERATED
DP2027R5P06,2027,5,6,134,LAC,LAC,0,GENERATED
DP2027R5P07,2027,5,7,135,BAL,BAL,0,GENERATED
DP2027R5P08,2027,5,8,136,ARI,TB,0,GENERATED
DP2027R5P09,2027,5,9,137,WAS,WAS,0,GENERATED
DP2027R5P10,2027,5,10,138,DAL,DAL,0,GENERATED
DP2027R5P11,2027,5,11,139,CHI,CHI,0,GENERATED
DP2027R5P12,2027,5,12,140,IND,IND,0,GENERATED
DP2027R5P13,2027,5,13,141,TB,TB,0,GENERATED
DP2027R5P14,2027,5,14,142,PHI,PHI,0,GENERATED
DP2027R5P15,2027,5,15,143,CLE,CLE,0,GENERATED
DP2027R5P16,2027,5,16,144,SEA,SEA,0,GENERATED
DP2027R5P17,2027,5,17,145,CIN,HOU,0,GENERATED
DP2027R5P18,2027,5,18,146,MIN,MIN,0,GENERATED
DP2027R5P19,2027,5,19,147,LAR,LAR,0,GENERATED
DP2027R5P20,2027,5,20,148,JAX,JAX,0,GENERATED
DP2027R5P21,2027,5,21,149,NYJ,NYJ,0,GENERATED
DP2027R5P22,2027,5,22,150,TEN,TEN,0,GENERATED
DP2027R5P23,2027,5,23,151,DEN,CLE,0,GENERATED
DP2027R5P24,2027,5,24,152,LV,GB,0,GENERATED
DP2027R5P25,2027,5,25,153,ATL,ATL,0,GENERATED
DP2027R5P26,2027,5,26,154,SF,SF,0,GENERATED
DP2027R5P27,2027,5,27,155,GB,GB,0,GENERATED
DP2027R5P28,2027,5,28,156,NO,NO,0,GENERATED
DP2027R5P29,2027,5,29,157,CAR,CAR,0,GENERATED
DP2027R5P30,2027,5,30,158,KC,DAL,0,GENERATED
DP2027R5P31,2027,5,31,159,PIT,PIT,0,GENERATED
DP2027R5P32,2027,5,32,160,DET,DET,0,GENERATED
DP2027R6P01,2027,6,1,161,MIA,MIA,0,GENERATED
DP2027R6P02,2027,6,2,162,BUF,BUF,0,GENERATED
DP2027R6P03,2027,6,3,163,HOU,HOU,0,GENERATED
DP2027R6P04,2027,6,4,164,NE,NE,0,GENERATED
DP2027R6P05,2027,6,5,165,NYG,NYG,0,GENERATED
DP2027R6P06,2027,6,6,166,LAC,LAC,0,GENERATED
DP2027R6P07,2027,6,7,167,BAL,BAL,0,GENERATED
DP2027R6P08,2027,6,8,168,ARI,ARI,0,GENERATED
DP2027R6P09,2027,6,9,169,WAS,WAS,0,GENERATED
DP2027R6P10,2027,6,10,170,DAL,WAS,0,GENERATED
DP2027R6P11,2027,6,11,171,CHI,GB,0,GENERATED
DP2027R6P12,2027,6,12,172,IND,IND,0,GENERATED
DP2027R6P13,2027,6,13,173,TB,DET,0,GENERATED
DP2027R6P14,2027,6,14,174,PHI,PHI,0,GENERATED
DP2027R6P15,2027,6,15,175,CLE,CLE,0,GENERATED
DP2027R6P16,2027,6,16,176,SEA,SEA,0,GENERATED
DP2027R6P17,2027,6,17,177,CIN,CIN,0,GENERATED
DP2027R6P18,2027,6,18,178,MIN,MIN,0,GENERATED
DP2027R6P19,2027,6,19,179,LAR,LAR,0,GENERATED
DP2027R6P20,2027,6,20,180,JAX,JAX,0,GENERATED
DP2027R6P21,2027,6,21,181,NYJ,NYJ,0,GENERATED
DP2027R6P22,2027,6,22,182,TEN,TEN,0,GENERATED
DP2027R6P23,2027,6,23,183,DEN,DEN,0,GENERATED
DP2027R6P24,2027,6,24,184,LV,LAC,0,GENERATED
DP2027R6P25,2027,6,25,185,ATL,ATL,0,GENERATED
DP2027R6P26,2027,6,26,186,SF,BUF,0,GENERATED
DP2027R6P27,2027,6,27,187,GB,GB,0,GENERATED
DP2027R6P28,2027,6,28,188,NO,NO,0,GENERATED
DP2027R6P29,2027,6,29,189,CAR,CAR,0,GENERATED
DP2027R6P30,2027,6,30,190,KC,KC,0,GENERATED
DP2027R6P31,2027,6,31,191,PIT,PIT,0,GENERATED
DP2027R6P32,2027,6,32,192,DET,DET,0,GENERATED
DP2027R7P01,2027,7,1,193,MIA,MIA,0,GENERATED
DP2027R7P02,2027,7,2,194,BUF,BUF,0,GENERATED
DP2027R7P03,2027,7,3,195,HOU,HOU,0,GENERATED
DP2027R7P04,2027,7,4,196,NE,ARI,0,GENERATED
DP2027R7P05,2027,7,5,197,NYG,ATL,0,GENERATED
DP2027R7P06,2027,7,6,198,LAC,LAC,0,GENERATED
DP2027R7P07,2027,7,7,199,BAL,BAL,0,GENERATED
DP2027R7P08,2027,7,8,200,ARI,JAX,0,GENERATED
DP2027R7P09,2027,7,9,201,WAS,WAS,0,GENERATED
DP2027R7P10,2027,7,10,202,DAL,DAL,0,GENERATED
DP2027R7P11,2027,7,11,203,CHI,CHI,0,GENERATED
DP2027R7P12,2027,7,12,204,IND,IND,0,GENERATED
DP2027R7P13,2027,7,13,205,TB,TB,0,GENERATED
DP2027R7P14,2027,7,14,206,PHI,PHI,0,GENERATED
DP2027R7P15,2027,7,15,207,CLE,CLE,0,GENERATED
DP2027R7P16,2027,7,16,208,SEA,WAS,0,GENERATED
DP2027R7P17,2027,7,17,209,CIN,CIN,0,GENERATED
DP2027R7P18,2027,7,18,210,MIN,MIN,0,GENERATED
DP2027R7P19,2027,7,19,211,LAR,LAR,0,GENERATED
DP2027R7P20,2027,7,20,212,JAX,JAX,0,GENERATED
DP2027R7P21,2027,7,21,213,NYJ,NYJ,0,GENERATED
DP2027R7P22,2027,7,22,214,TEN,NYG,0,GENERATED
DP2027R7P23,2027,7,23,215,DEN,DEN,0,GENERATED
DP2027R7P24,2027,7,24,216,LV,LV,0,GENERATED
DP2027R7P25,2027,7,25,217,ATL,ATL,0,GENERATED
DP2027R7P26,2027,7,26,218,SF,SF,0,GENERATED
DP2027R7P27,2027,7,27,219,GB,GB,0,GENERATED
DP2027R7P28,2027,7,28,220,NO,NO,0,GENERATED
DP2027R7P29,2027,7,29,221,CAR,CAR,0,GENERATED
DP2027R7P30,2027,7,30,222,KC,KC,0,GENERATED
DP2027R7P31,2027,7,31,223,PIT,PIT,0,GENERATED
DP2027R7P32,2027,7,32,224,DET,DET,0,GENERATED
DP2028R1P01,2028,1,1,1,MIA,NE,0,GENERATED
DP2028R1P02,2028,1,2,2,BUF,BUF,0,GENERATED
DP2028R1P03,2028,1,3,3,HOU,LAR,0,GENERATED
DP2028R1P04,2028,1,4,4,NE,PIT,0,GENERATED
DP2028R1P05,2028,1,5,5,NYG,NYG,0,GENERATED
DP2028R1P06,2028,1,6,6,LAC,LAC,0,GENERATED
DP2028R1P07,2028,1,7,7,BAL,BAL,0,GENERATED
DP2028R1P08,2028,1,8,8,ARI,ARI,0,GENERATED
DP2028R1P09,2028,1,9,9,WAS,WAS,0,GENERATED
DP2028R1P10,2028,1,10,10,DAL,LV,0,GENERATED
DP2028R1P11,2028,1,11,11,CHI,CHI,0,GENERATED
DP2028R1P12,2028,1,12,12,IND,IND,0,GENERATED
DP2028R1P13,2028,1,13,13,TB,TB,0,GENERATED
DP2028R1P14,2028,1,14,14,PHI,PHI,0,GENERATED
DP2028R1P15,2028,1,15,15,CLE,CLE,0,GENERATED
DP2028R1P16,2028,1,16,16,SEA,SEA,0,GENERATED
DP2028R1P17,2028,1,17,17,CIN,CIN,0,GENERATED
DP2028R1P18,2028,1,18,18,MIN,MIN,0,GENERATED
DP2028R1P19,2028,1,19,19,LAR,LAR,0,GENERATED
DP2028R1P20,2028,1,20,20,JAX,JAX,0,GENERATED
DP2028R1P21,2028,1,21,21,NYJ,NYJ,0,GENERATED
DP2028R1P22,2028,1,22,22,TEN,TEN,0,GENERATED
DP2028R1P23,2028,1,23,23,DEN,DEN,0,GENERATED
DP2028R1P24,2028,1,24,24,LV,LV,0,GENERATED
DP2028R1P25,2028,1,25,25,ATL,LAC,0,GENERATED
DP2028R1P26,2028,1,26,26,SF,SF,0,GENERATED
DP2028R1P27,2028,1,27,27,GB,GB,0,GENERATED
DP2028R1P28,2028,1,28,28,NO,NO,0,GENERATED
DP2028R1P29,2028,1,29,29,CAR,CAR,0,GENERATED
DP2028R1P30,2028,1,30,30,KC,KC,0,GENERATED
DP2028R1P31,2028,1,31,31,PIT,PIT,0,GENERATED
DP2028R1P32,2028,1,32,32,DET,DET,0,GENERATED
DP2028R2P01,2028,2,1,33,MIA,MIA,0,GENERATED
DP2028R2P02,2028,2,2,34,BUF,BUF,0,GENERATED
DP2028R2P03,2028,2,3,35,HOU,HOU,0,GENERATED
DP2028R2P04,2028,2,4,36,NE,LV,0,GENERATED
DP2028R2P05,2028,2,5,37,NYG,NYG,0,GENERATED
DP2028R2P06,2028,2,6,38,LAC,LAC,0,GENERATED
DP2028R2P07,2028,2,7,39,BAL,BAL,0,GENERATED
DP2028R2P08,2028,2,8,40,ARI,ARI,0,GENERATED
DP2028R2P09,2028,2,9,41,WAS,WAS,0,GENERATED
DP2028R2P10,2028,2,10,42,DAL,TB,0,GENERATED
DP2028R2P11,2028,2,11,43,CHI,CHI,0,GENERATED
DP2028R2P12,2028,2,12,44,IND,IND,0,GENERATED
DP2028R2P13,2028,2,13,45,TB,TB,0,GENERATED
DP2028R2P14,2028,2,14,46,PHI,PHI,0,GENERATED
DP2028R2P15,2028,2,15,47,CLE,CLE,0,GENERATED
DP2028R2P16,2028,2,16,48,SEA,SEA,0,GENERATED
DP2028R2P17,2028,2,17,49,CIN,CIN,0,GENERATED
DP2028R2P18,2028,2,18,50,MIN,MIN,0,GENERATED
DP2028R2P19,2028,2,19,51,LAR,LAR,0,GENERATED
DP2028R2P20,2028,2,20,52,JAX,CLE,0,GENERATED
DP2028R2P21,2028,2,21,53,NYJ,NYJ,0,GENERATED
DP2028R2P22,2028,2,22,54,TEN,TEN,0,GENERATED
DP2028R2P23,2028,2,23,55,DEN,DEN,0,GENERATED
DP2028R2P24,2028,2,24,56,LV,LV,0,GENERATED
DP2028R2P25,2028,2,25,57,ATL,ATL,0,GENERATED
DP2028R2P26,2028,2,26,58,SF,LAC,0,GENERATED
DP2028R2P27,2028,2,27,59,GB,GB,0,GENERATED
DP2028R2P28,2028,2,28,60,NO,NO,0,GENERATED
DP2028R2P29,2028,2,29,61,CAR,CAR,0,GENERATED
DP2028R2P30,2028,2,30,62,KC,KC,0,GENERATED
DP2028R2P31,2028,2,31,63,PIT,PIT,0,GENERATED
DP2028R2P32,2028,2,32,64,DET,DET,0,GENERATED
DP2028R3P01,2028,3,1,65,MIA,MIA,0,GENERATED
DP2028R3P02,2028,3,2,66,BUF,BUF,0,GENERATED
DP2028R3P03,2028,3,3,67,HOU,HOU,0,GENERATED
DP2028R3P04,2028,3,4,68,NE,NE,0,GENERATED
DP2028R3P05,2028,3,5,69,NYG,NYG,0,GENERATED
DP2028R3P06,2028,3,6,70,LAC,LAC,0,GENERATED
DP2028R3P07,2028,3,7,71,BAL,BAL,0,GENERATED
DP2028R3P08,2028,3,8,72,ARI,MIA,0,GENERATED
DP2028R3P09,2028,3,9,73,WAS,WAS,0,GENERATED
DP2028R3P10,2028,3,10,74,DAL,DAL,0,GENERATED
DP2028R3P11,2028,3,11,75,CHI,CHI,0,GENERATED
DP2028R3P12,2028,3,12,76,IND,IND,0,GENERATED
DP2028R3P13,2028,3,13,77,TB,TB,0,GENERATED
DP2028R3P14,2028,3,14,78,PHI,PHI,0,GENERATED
DP2028R3P15,2028,3,15,79,CLE,CLE,0,GENERATED
DP2028R3P16,2028,3,16,80,SEA,SEA,0,GENERATED
DP2028R3P17,2028,3,17,81,CIN,CIN,0,GENERATED
DP2028R3P18,2028,3,18,82,MIN,MIN,0,GENERATED
DP2028R3P19,2028,3,19,83,LAR,LAR,0,GENERATED
DP2028R3P20,2028,3,20,84,JAX,JAX,0,GENERATED
DP2028R3P21,2028,3,21,85,NYJ,NYJ,0,GENERATED
DP2028R3P22,2028,3,22,86,TEN,TEN,0,GENERATED
DP2028R3P23,2028,3,23,87,DEN,DEN,0,GENERATED
DP2028R3P24,2028,3,24,88,LV,LV,0,GENERATED
DP2028R3P25,2028,3,25,89,ATL,LAR,0,GENERATED
DP2028R3P26,2028,3,26,90,SF,SF,0,GENERATED
DP2028R3P27,2028,3,27,91,GB,GB,0,GENERATED
DP2028R3P28,2028,3,28,92,NO,NO,0,GENERATED
DP2028R3P29,2028,3,29,93,CAR,CAR,0,GENERATED
DP2028R3P30,2028,3,30,94,KC,KC,0,GENERATED
DP2028R3P31,2028,3,31,95,PIT,PIT,0,GENERATED
DP2028R3P32,2028,3,32,96,DET,DET,0,GENERATED
DP2028R4P01,2028,4,1,97,MIA,MIA,0,GENERATED
DP2028R4P02,2028,4,2,98,BUF,BUF,0,GENERATED
DP2028R4P03,2028,4,3,99,HOU,HOU,0,GENERATED
DP2028R4P04,2028,4,4,100,NE,NE,0,GENERATED
DP2028R4P05,2028,4,5,101,NYG,NYG,0,GENERATED
DP2028R4P06,2028,4,6,102,LAC,LAC,0,GENERATED
DP2028R4P07,2028,4,7,103,BAL,BAL,0,GENERATED
DP2028R4P08,2028,4,8,104,ARI,ARI,0,GENERATED
DP2028R4P09,2028,4,9,105,WAS,WAS,0,GENERATED
DP2028R4P10,2028,4,10,106,DAL,DAL,0,GENERATED
DP2028R4P11,2028,4,11,107,CHI,CHI,0,GENERATED
DP2028R4P12,2028,4,12,108,IND,IND,0,GENERATED
DP2028R4P13,2028,4,13,109,TB,TB,0,GENERATED
DP2028R4P14,2028,4,14,110,PHI,PHI,0,GENERATED
DP2028R4P15,2028,4,15,111,CLE,CLE,0,GENERATED
DP2028R4P16,2028,4,16,112,SEA,SEA,0,GENERATED
DP2028R4P17,2028,4,17,113,CIN,CIN,0,GENERATED
DP2028R4P18,2028,4,18,114,MIN,MIN,0,GENERATED
DP2028R4P19,2028,4,19,115,LAR,LAR,0,GENERATED
DP2028R4P20,2028,4,20,116,JAX,NYJ,0,GENERATED
DP2028R4P21,2028,4,21,117,NYJ,NYJ,0,GENERATED
DP2028R4P22,2028,4,22,118,TEN,TEN,0,GENERATED
DP2028R4P23,2028,4,23,119,DEN,DEN,0,GENERATED
DP2028R4P24,2028,4,24,120,LV,LV,0,GENERATED
DP2028R4P25,2028,4,25,121,ATL,ATL,0,GENERATED
DP2028R4P26,2028,4,26,122,SF,SF,0,GENERATED
DP2028R4P27,2028,4,27,123,GB,GB,0,GENERATED
DP2028R4P28,2028,4,28,124,NO,NO,0,GENERATED
DP2028R4P29,2028,4,29,125,CAR,CAR,0,GENERATED
DP2028R4P30,2028,4,30,126,KC,KC,0,GENERATED
DP2028R4P31,2028,4,31,127,PIT,SF,0,GENERATED
DP2028R4P32,2028,4,32,128,DET,DET,0,GENERATED
DP2028R5P01,2028,5,1,129,MIA,DEN,0,GENERATED
DP2028R5P02,2028,5,2,130,BUF,BUF,0,GENERATED
DP2028R5P03,2028,5,3,131,HOU,DEN,0,GENERATED
DP2028R5P04,2028,5,4,132,NE,NE,0,GENERATED
DP2028R5P05,2028,5,5,133,NYG,NYG,0,GENERATED
DP2028R5P06,2028,5,6,134,LAC,LAC,0,GENERATED
DP2028R5P07,2028,5,7,135,BAL,BAL,0,GENERATED
DP2028R5P08,2028,5,8,136,ARI,ARI,0,GENERATED
DP2028R5P09,2028,5,9,137,WAS,WAS,0,GENERATED
DP2028R5P10,2028,5,10,138,DAL,DAL,0,GENERATED
DP2028R5P11,2028,5,11,139,CHI,CHI,0,GENERATED
DP2028R5P12,2028,5,12,140,IND,IND,0,GENERATED
DP2028R5P13,2028,5,13,141,TB,TB,0,GENERATED
DP2028R5P14,2028,5,14,142,PHI,PHI,0,GENERATED
DP2028R5P15,2028,5,15,143,CLE,CLE,0,GENERATED
DP2028R5P16,2028,5,16,144,SEA,SEA,0,GENERATED
DP2028R5P17,2028,5,17,145,CIN,CIN,0,GENERATED
DP2028R5P18,2028,5,18,146,MIN,MIN,0,GENERATED
DP2028R5P19,2028,5,19,147,LAR,LAR,0,GENERATED
DP2028R5P20,2028,5,20,148,JAX,BUF,0,GENERATED
DP2028R5P21,2028,5,21,149,NYJ,NYJ,0,GENERATED
DP2028R5P22,2028,5,22,150,TEN,TEN,0,GENERATED
DP2028R5P23,2028,5,23,151,DEN,DEN,0,GENERATED
DP2028R5P24,2028,5,24,152,LV,LV,0,GENERATED
DP2028R5P25,2028,5,25,153,ATL,ATL,0,GENERATED
DP2028R5P26,2028,5,26,154,SF,JAX,0,GENERATED
DP2028R5P27,2028,5,27,155,GB,GB,0,GENERATED
DP2028R5P28,2028,5,28,156,NO,NO,0,GENERATED
DP2028R5P29,2028,5,29,157,CAR,CAR,0,GENERATED
DP2028R5P30,2028,5,30,158,KC,KC,0,GENERATED
DP2028R5P31,2028,5,31,159,PIT,PIT,0,GENERATED
DP2028R5P32,2028,5,32,160,DET,DET,0,GENERATED
DP2028R6P01,2028,6,1,161,MIA,MIA,0,GENERATED
DP2028R6P02,2028,6,2,162,BUF,BUF,0,GENERATED
DP2028R6P03,2028,6,3,163,HOU,HOU,0,GENERATED
DP2028R6P04,2028,6,4,164,NE,NE,0,GENERATED
DP2028R6P05,2028,6,5,165,NYG,NYG,0,GENERATED
DP2028R6P06,2028,6,6,166,LAC,LAC,0,GENERATED
DP2028R6P07,2028,6,7,167,BAL,TB,0,GENERATED
DP2028R6P08,2028,6,8,168,ARI,ARI,0,GENERATED
DP2028R6P09,2028,6,9,169,WAS,WAS,0,GENERATED
DP2028R6P10,2028,6,10,170,DAL,DAL,0,GENERATED
DP2028R6P11,2028,6,11,171,CHI,CHI,0,GENERATED
DP2028R6P12,2028,6,12,172,IND,IND,0,GENERATED
DP2028R6P13,2028,6,13,173,TB,TB,0,GENERATED
DP2028R6P14,2028,6,14,174,PHI,PHI,0,GENERATED
DP2028R6P15,2028,6,15,175,CLE,CLE,0,GENERATED
DP2028R6P16,2028,6,16,176,SEA,IND,0,GENERATED
DP2028R6P17,2028,6,17,177,CIN,CIN,0,GENERATED
DP2028R6P18,2028,6,18,178,MIN,MIN,0,GENERATED
DP2028R6P19,2028,6,19,179,LAR,LAR,0,GENERATED
DP2028R6P20,2028,6,20,180,JAX,JAX,0,GENERATED
DP2028R6P21,2028,6,21,181,NYJ,NYJ,0,GENERATED
DP2028R6P22,2028,6,22,182,TEN,TEN,0,GENERATED
DP2028R6P23,2028,6,23,183,DEN,DEN,0,GENERATED
DP2028R6P24,2028,6,24,184,LV,LAR,0,GENERATED
DP2028R6P25,2028,6,25,185,ATL,JAX,0,GENERATED
DP2028R6P26,2028,6,26,186,SF,SF,0,GENERATED
DP2028R6P27,2028,6,27,187,GB,NYJ,0,GENERATED
DP2028R6P28,2028,6,28,188,NO,NO,0,GENERATED
DP2028R6P29,2028,6,29,189,CAR,CAR,0,GENERATED
DP2028R6P30,2028,6,30,190,KC,SEA,0,GENERATED
