team_id,need_rank,position,starter_avg_rating,severity,data_class
HOU,3,DT,70.7,HIGH,MODELED
HOU,4,RB,71.0,HIGH,MODELED
HOU,5,TE,71.0,HIGH,MODELED
IND,1,LS,66.0,CRITICAL,MODELED
IND,2,LB,70.7,HIGH,MODELED
IND,3,RB,72.0,HIGH,MODELED
IND,4,TE,73.0,HIGH,MODELED
IND,5,OT,73.0,HIGH,MODELED
JAX,1,S,71.7,HIGH,MODELED
JAX,2,WR,71.8,HIGH,MODELED
JAX,3,P,74.0,MODERATE,MODELED
JAX,4,FB,75.0,MODERATE,MODELED
JAX,5,C,76.0,MODERATE,MODELED
TEN,1,P,72.0,HIGH,MODELED
TEN,2,LS,73.0,HIGH,MODELED
TEN,3,K,75.0,MODERATE,MODELED
TEN,4,RB,77.0,MODERATE,MODELED
TEN,5,TE,77.0,MODERATE,MODELED
DEN,1,FB,74.0,MODERATE,MODELED
DEN,2,LS,76.0,MODERATE,MODELED
DEN,3,OG,76.5,MODERATE,MODELED
DEN,4,S,78.0,MODERATE,MODELED
DEN,5,K,78.0,MODERATE,MODELED
KC,1,LS,73.0,HIGH,MODELED
KC,2,C,75.0,MODERATE,MODELED
KC,3,P,75.0,MODERATE,MODELED
KC,4,WR,77.8,MODERATE,MODELED
KC,5,S,78.3,MODERATE,MODELED
LV,1,FB,76.0,MODERATE,MODELED
LV,2,LS,76.0,MODERATE,MODELED
LV,3,RB,77.0,MODERATE,MODELED
LV,4,WR,77.6,MODERATE,MODELED
LV,5,DT,77.7,MODERATE,MODELED
LAC,1,LS,65.0,CRITICAL,MODELED
LAC,2,FB,67.0,CRITICAL,MODELED
LAC,3,P,73.0,HIGH,MODELED
LAC,4,DT,73.7,HIGH,MODELED
LAC,5,QB,74.0,MODERATE,MODELED
DAL,1,LS,67.0,CRITICAL,MODELED
DAL,2,TE,68.0,HIGH,MODELED
DAL,3,S,68.0,HIGH,MODELED
DAL,4,FB,70.0,HIGH,MODELED
DAL,5,P,72.0,HIGH,MODELED
PHI,1,FB,67.0,CRITICAL,MODELED
PHI,2,TE,71.0,HIGH,MODELED
PHI,3,K,72.0,HIGH,MODELED
PHI,4,P,74.0,MODERATE,MODELED
PHI,5,LS,75.0,MODERATE,MODELED
WAS,1,LS,67.0,CRITICAL,MODELED
WAS,2,C,69.0,HIGH,MODELED
WAS,3,S,71.0,HIGH,MODELED
WAS,4,K,71.0,HIGH,MODELED
WAS,5,TE,72.0,HIGH,MODELED
NYG,1,P,67.0,CRITICAL,MODELED
NYG,2,LS,67.0,CRITICAL,MODELED
NYG,3,OG,67.5,CRITICAL,MODELED
NYG,4,QB,69.0,HIGH,MODELED
NYG,5,K,69.0,HIGH,MODELED
CHI,1,LS,70.0,HIGH,MODELED
CHI,2,K,72.0,HIGH,MODELED
CHI,3,OG,72.5,HIGH,MODELED
CHI,4,LB,73.3,HIGH,MODELED
CHI,5,OT,75.5,MODERATE,MODELED
DET,1,LS,76.0,MODERATE,MODELED
DET,2,FB,80.0,MODERATE,MODELED
DET,3,TE,82.5,MODERATE,MODELED
DET,4,OT,83.0,MODERATE,MODELED
DET,5,C,83.0,MODERATE,MODELED
GB,1,FB,75.0,MODERATE,MODELED
GB,2,LS,75.0,MODERATE,MODELED
GB,3,S,75.7,MODERATE,MODELED
GB,4,TE,77.0,MODERATE,MODELED
GB,5,LB,77.0,MODERATE,MODELED
MIN,1,LS,71.0,HIGH,MODELED
MIN,2,TE,72.5,HIGH,MODELED
MIN,3,RB,74.0,MODERATE,MODELED
MIN,4,OG,74.0,MODERATE,MODELED
MIN,5,K,75.0,MODERATE,MODELED
ATL,1,K,76.0,MODERATE,MODELED
ATL,2,LS,76.0,MODERATE,MODELED
ATL,3,RB,77.0,MODERATE,MODELED
ATL,4,FB,78.0,MODERATE,MODELED
ATL,5,C,78.0,MODERATE,MODELED
CAR,1,K,76.0,MODERATE,MODELED
CAR,2,LS,76.0,MODERATE,MODELED
CAR,3,FB,77.0,MODERATE,MODELED
CAR,4,TE,78.5,MODERATE,MODELED
CAR,5,LB,78.5,MODERATE,MODELED
NO,1,P,73.0,HIGH,MODELED
NO,2,WR,74.6,MODERATE,MODELED
NO,3,S,75.3,MODERATE,MODELED
NO,4,TE,76.0,MODERATE,MODELED
NO,5,LS,76.0,MODERATE,MODELED
TB,1,K,69.0,HIGH,MODELED
TB,2,FB,71.0,HIGH,MODELED
TB,3,WR,71.0,HIGH,MODELED
TB,4,TE,72.0,HIGH,MODELED
TB,5,P,73.0,HIGH,MODELED
ARI,1,P,66.0,CRITICAL,MODELED
ARI,2,LS,70.0,HIGH,MODELED
ARI,3,FB,72.0,HIGH,MODELED
ARI,4,TE,73.0,HIGH,MODELED
ARI,5,WR,73.6,HIGH,MODELED
LAR,1,TE,71.5,HIGH,MODELED
LAR,2,P,73.0,HIGH,MODELED
LAR,3,WR,74.6,MODERATE,MODELED
LAR,4,FB,75.0,MODERATE,MODELED
LAR,5,S,76.0,MODERATE,MODELED
SF,1,FB,72.0,HIGH,MODELED
SF,2,LS,74.0,MODERATE,MODELED
SF,3,TE,78.0,MODERATE,MODELED
SF,4,P,78.0,MODERATE,MODELED
SF,5,LB,79.0,MODERATE,MODELED
SEA,1,TE,73.0,HIGH,MODELED
SEA,2,K,73.0,HIGH,MODELED
SEA,3,P,73.0,HIGH,MODELED
SEA,4,S,73.7,HIGH,MODELED
SEA,5,LS,74.0,MODERATE,MODELED
