game_id,season,week,game_date,kickoff_local,home_team_id,away_team_id,venue,venue_city,roof,surface,divisional_game,conference_game,primetime,status,home_score,away_score,data_class
G2026W09129,2026,9,2026-11-08,16:05,NE,BAL,Commonwealth Field,Foxborough,open,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W09130,2026,9,2026-11-08,13:00,DEN,IND,Mile High Park,Denver,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W09131,2026,9,2026-11-05,20:15,DAL,GB,Lone Star Palace,Arlington,retractable,artificial,0,1,1,SCHEDULED,,,GENERATED
G2026W09132,2026,9,2026-11-08,13:00,LAR,ATL,Pacific Crossing,Inglewood,retractable,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W09133,2026,9,2026-11-08,13:00,NO,SF,Crescent Dome,New Orleans,dome,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W09134,2026,9,2026-11-08,16:05,CAR,HOU,Piedmont Field,Charlotte,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W09135,2026,9,2026-11-08,16:05,ARI,LAC,Desert Vista Stadium,Glendale,retractable,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W09136,2026,9,2026-11-08,16:05,CHI,TB,Lakeside Grounds,Chicago,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W10137,2026,10,2026-11-15,13:00,CIN,CLE,Queen City Field,Cincinnati,open,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W10138,2026,10,2026-11-15,13:00,HOU,IND,Gulf Coast Dome,Houston,retractable,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W10139,2026,10,2026-11-15,16:05,GB,CHI,Northwoods Field,Green Bay,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W10140,2026,10,2026-11-15,16:05,DET,MIN,Assembly Dome,Detroit,dome,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W10141,2026,10,2026-11-15,13:00,SEA,NO,Puget Sound Field,Seattle,open,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W10142,2026,10,2026-11-15,20:20,ARI,TB,Desert Vista Stadium,Glendale,retractable,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W10143,2026,10,2026-11-15,16:05,NYG,NE,Meadowlark Stadium,East Rutherford,open,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W10144,2026,10,2026-11-12,20:15,NYJ,PHI,Meadowlark Stadium,East Rutherford,open,artificial,0,0,1,SCHEDULED,,,GENERATED
G2026W10145,2026,10,2026-11-15,20:20,ATL,TEN,Peachtree Dome,Atlanta,retractable,artificial,0,0,1,SCHEDULED,,,GENERATED
G2026W10146,2026,10,2026-11-15,16:05,KC,LAR,Stockyards Stadium,Kansas City,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W10147,2026,10,2026-11-15,16:05,LV,SF,Silver Vault,Paradise,dome,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W10148,2026,10,2026-11-15,16:05,DEN,BUF,Mile High Park,Denver,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W10149,2026,10,2026-11-15,16:05,MIA,LAC,Palmetto Bay Stadium,Miami Gardens,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W10150,2026,10,2026-11-12,20:15,PIT,CAR,Three Rivers Yard,Pittsburgh,open,grass,0,0,1,SCHEDULED,,,GENERATED
G2026W11151,2026,11,2026-11-22,16:05,LV,DEN,Silver Vault,Paradise,dome,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W11152,2026,11,2026-11-22,13:00,PHI,DAL,Independence Field,Philadelphia,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W11153,2026,11,2026-11-22,20:20,MIN,GB,Aurora Bank Dome,Minneapolis,dome,artificial,1,1,1,SCHEDULED,,,GENERATED
G2026W11154,2026,11,2026-11-22,16:05,NO,CAR,Crescent Dome,New Orleans,dome,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W11155,2026,11,2026-11-22,16:05,LAR,SEA,Pacific Crossing,Inglewood,retractable,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W11156,2026,11,2026-11-22,13:00,CIN,NE,Queen City Field,Cincinnati,open,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W11157,2026,11,2026-11-22,13:00,BAL,NYJ,Harborworks Field,Baltimore,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W11158,2026,11,2026-11-22,13:00,LAC,HOU,Pacific Crossing,Inglewood,retractable,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W11159,2026,11,2026-11-22,16:05,KC,JAX,Stockyards Stadium,Kansas City,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W11160,2026,11,2026-11-22,16:05,SF,TB,Bayview Park,Santa Clara,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W11161,2026,11,2026-11-22,16:05,BUF,WAS,Lakeshore Field,Orchard Park,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W11162,2026,11,2026-11-22,13:00,CHI,PIT,Lakeside Grounds,Chicago,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W11163,2026,11,2026-11-22,20:20,DET,CLE,Assembly Dome,Detroit,dome,artificial,0,0,1,SCHEDULED,,,GENERATED
G2026W11164,2026,11,2026-11-22,16:05,ATL,IND,Peachtree Dome,Atlanta,retractable,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W11165,2026,11,2026-11-22,16:05,NYG,ARI,Meadowlark Stadium,East Rutherford,open,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W12166,2026,12,2026-11-29,13:00,NE,MIA,Commonwealth Field,Foxborough,open,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W12167,2026,12,2026-11-29,16:05,PIT,BAL,Three Rivers Yard,Pittsburgh,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W12168,2026,12,2026-11-29,16:05,LAC,LV,Pacific Crossing,Inglewood,retractable,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W12169,2026,12,2026-11-29,16:05,DET,CHI,Assembly Dome,Detroit,dome,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W12170,2026,12,2026-11-29,13:00,CLE,NYJ,Lakefront Stadium,Cleveland,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W12171,2026,12,2026-11-29,16:05,JAX,DEN,Atlantic Bank Field,Jacksonville,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W12172,2026,12,2026-11-29,13:00,MIN,DAL,Aurora Bank Dome,Minneapolis,dome,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W12173,2026,12,2026-11-29,16:05,CAR,SEA,Piedmont Field,Charlotte,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W12174,2026,12,2026-11-29,13:00,NYG,BUF,Meadowlark Stadium,East Rutherford,open,artificial,0,0,0,SCHEDULED,,,GENERATED
G2026W12175,2026,12,2026-11-29,16:05,TB,HOU,Bayshore Stadium,Tampa,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W12176,2026,12,2026-11-26,20:15,NO,TEN,Crescent Dome,New Orleans,dome,artificial,0,0,1,SCHEDULED,,,GENERATED
G2026W12177,2026,12,2026-11-29,13:00,ATL,WAS,Peachtree Dome,Atlanta,retractable,artificial,0,1,0,SCHEDULED,,,GENERATED
G2026W12178,2026,12,2026-11-29,16:05,GB,LAR,Northwoods Field,Green Bay,open,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W12179,2026,12,2026-11-29,16:05,KC,PHI,Stockyards Stadium,Kansas City,open,grass,0,0,0,SCHEDULED,,,GENERATED
G2026W13180,2026,13,2026-12-06,16:05,MIA,NE,Palmetto Bay Stadium,Miami Gardens,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W13181,2026,13,2026-12-06,13:00,KC,DEN,Stockyards Stadium,Kansas City,open,grass,1,1,0,SCHEDULED,,,GENERATED
G2026W13182,2026,13,2026-12-06,16:05,DET,CHI,Assembly Dome,Detroit,dome,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W13183,2026,13,2026-12-06,16:05,ATL,TB,Peachtree Dome,Atlanta,retractable,artificial,1,1,0,SCHEDULED,,,GENERATED
G2026W13184,2026,13,2026-12-07,20:20,LAR,ARI,Pacific Crossing,Inglewood,retractable,artificial,1,1,1,SCHEDULED,,,GENERATED
G2026W13185,2026,13,2026-12-07,20:20,NYJ,PIT,Meadowlark Stadium,East Rutherford,open,artificial,0,1,1,SCHEDULED,,,GENERATED
G2026W13186,2026,13,2026-12-06,13:00,LV,IND,Silver Vault,Paradise,dome,grass,0,1,0,SCHEDULED,,,GENERATED
G2026W13187,2026,13,2026-12-07,20:20,PHI,MIN,Independence Field,Philadelphia,open,grass,0,1,1,SCHEDULED,,,GENERATED
G2026W13188,2026,13,2026-12-06,16:05,BUF,DAL,Lakeshore Field,Orchard Park,open,grass,0,0,0,SCHEDULED,,,GENERATED
