player_id,team_id,morale,playing_time_satisfaction,contract_satisfaction,coach_trust,locker_room_influence,trade_request,holdout_risk,data_class
MIA_OG_01,MIA,62,100,45,79,73,0,6,MODELED
MIA_OG_02,MIA,76,87,97,63,65,0,11,MODELED
MIA_OG_03,MIA,86,40,90,61,51,0,4,MODELED
MIA_OG_04,MIA,80,56,70,74,22,0,8,MODELED
MIA_OG_05,MIA,58,51,56,48,23,0,8,MODELED
MIA_OG_06,MIA,48,28,84,76,2,0,2,MODELED
MIA_C_01,MIA,61,70,38,79,65,0,11,MODELED
MIA_C_02,MIA,72,78,60,70,19,0,23,MODELED
MIA_C_03,MIA,54,60,67,79,16,0,20,MODELED
MIA_EDGE_01,MIA,88,86,55,62,73,0,18,MODELED
MIA_EDGE_02,MIA,90,81,74,87,70,0,14,MODELED
MIA_EDGE_03,MIA,61,53,80,86,51,0,0,MODELED
MIA_EDGE_04,MIA,65,87,67,58,48,0,7,MODELED
MIA_EDGE_05,MIA,81,45,69,50,21,0,12,MODELED
MIA_EDGE_06,MIA,39,52,64,77,10,0,14,MODELED
MIA_EDGE_07,MIA,47,75,64,67,12,0,20,MODELED
MIA_EDGE_08,MIA,52,42,71,79,29,0,0,MODELED
MIA_EDGE_09,MIA,36,49,87,67,29,0,0,MODELED
MIA_DT_01,MIA,81,93,36,62,37,0,0,MODELED
MIA_DT_02,MIA,73,65,61,80,61,0,7,MODELED
MIA_DT_03,MIA,84,78,38,66,39,0,10,MODELED
MIA_DT_04,MIA,52,63,69,96,59,0,2,MODELED
MIA_DT_05,MIA,66,52,67,62,87,0,3,MODELED
MIA_DT_06,MIA,59,67,56,81,4,0,16,MODELED
MIA_DT_07,MIA,46,31,39,66,31,0,20,MODELED
MIA_DT_08,MIA,58,41,56,78,38,0,1,MODELED
MIA_LB_01,MIA,78,68,88,55,44,0,13,MODELED
MIA_LB_02,MIA,67,86,56,70,43,0,2,MODELED
MIA_LB_03,MIA,83,60,58,61,45,0,0,MODELED
MIA_LB_04,MIA,63,69,76,82,22,0,0,MODELED
MIA_LB_05,MIA,50,76,54,62,45,0,4,MODELED
MIA_LB_06,MIA,70,45,94,82,11,0,5,MODELED
MIA_LB_07,MIA,39,44,53,81,17,0,18,MODELED
MIA_LB_08,MIA,52,28,57,45,21,0,14,MODELED
MIA_CB_01,MIA,84,70,47,42,49,0,28,MODELED
MIA_CB_02,MIA,74,84,51,79,73,0,6,MODELED
MIA_CB_03,MIA,100,86,68,100,93,0,11,MODELED
MIA_CB_04,MIA,69,68,71,57,51,0,5,MODELED
MIA_CB_05,MIA,74,62,61,70,38,0,9,MODELED
MIA_CB_06,MIA,69,56,64,78,25,0,19,MODELED
MIA_CB_07,MIA,59,48,83,74,39,0,5,MODELED
MIA_CB_08,MIA,66,44,58,53,69,0,8,MODELED
MIA_CB_09,MIA,36,30,63,60,14,0,0,MODELED
MIA_CB_10,MIA,47,53,64,80,34,0,7,MODELED
MIA_CB_11,MIA,61,61,66,62,54,0,1,MODELED
MIA_S_01,MIA,75,78,62,58,45,0,6,MODELED
MIA_S_02,MIA,86,71,55,66,40,0,0,MODELED
MIA_S_03,MIA,57,73,76,58,61,0,11,MODELED
MIA_S_04,MIA,59,67,81,81,45,0,0,MODELED
MIA_S_05,MIA,56,64,52,73,35,0,20,MODELED
MIA_S_06,MIA,46,50,67,43,22,0,0,MODELED
MIA_S_07,MIA,47,21,49,74,15,0,15,MODELED
MIA_K_01,MIA,72,98,53,56,33,0,21,MODELED
MIA_K_02,MIA,36,69,56,69,27,0,13,MODELED
MIA_P_01,MIA,82,88,54,58,25,0,18,MODELED
MIA_P_02,MIA,46,59,63,45,33,0,8,MODELED
MIA_LS_01,MIA,77,82,44,62,29,0,17,MODELED
NE_QB_01,NE,92,85,44,71,46,0,6,MODELED
NE_QB_02,NE,64,77,59,86,46,0,0,MODELED
NE_QB_03,NE,64,43,67,58,6,0,0,MODELED
NE_QB_04,NE,23,57,59,66,13,0,5,MODELED
NE_RB_01,NE,71,98,63,77,77,0,12,MODELED
NE_RB_02,NE,65,75,66,82,30,0,5,MODELED
NE_RB_03,NE,60,61,70,63,22,0,0,MODELED
NE_RB_04,NE,62,33,47,93,33,0,0,MODELED
NE_RB_05,NE,29,61,74,70,4,0,16,MODELED
NE_FB_01,NE,87,72,75,60,68,0,14,MODELED
NE_WR_01,NE,93,71,74,51,83,0,8,MODELED
NE_WR_02,NE,86,93,57,48,42,0,0,MODELED
NE_WR_03,NE,100,76,73,36,59,0,0,MODELED
NE_WR_04,NE,64,66,68,83,21,0,11,MODELED
NE_WR_05,NE,56,77,72,70,28,0,15,MODELED
NE_WR_06,NE,60,60,76,70,58,0,0,MODELED
NE_WR_07,NE,58,60,66,81,48,0,1,MODELED
NE_WR_08,NE,49,66,91,53,36,0,10,MODELED
NE_WR_09,NE,35,50,78,75,1,0,24,MODELED
NE_WR_10,NE,28,46,44,73,22,0,11,MODELED
NE_WR_11,NE,58,47,63,57,10,0,20,MODELED
NE_TE_01,NE,91,86,57,45,90,0,0,MODELED
NE_TE_02,NE,63,63,73,72,59,0,1,MODELED
NE_TE_03,NE,60,80,82,69,32,0,5,MODELED
NE_TE_04,NE,81,70,40,57,9,0,0,MODELED
NE_TE_05,NE,36,41,73,61,51,0,2,MODELED
NE_TE_06,NE,44,52,78,58,2,0,14,MODELED
NE_OT_01,NE,71,69,70,73,66,0,27,MODELED
NE_OT_02,NE,100,84,64,76,34,0,6,MODELED
NE_OT_03,NE,77,55,51,60,42,0,11,MODELED
NE_OT_04,NE,57,65,78,70,4,0,2,MODELED
NE_OT_05,NE,64,51,65,52,55,0,7,MODELED
NE_OT_06,NE,24,32,75,77,31,0,5,MODELED
NE_OG_01,NE,96,90,55,79,39,0,3,MODELED
NE_OG_02,NE,85,82,59,82,42,0,5,MODELED
NE_OG_03,NE,58,45,69,63,49,0,5,MODELED
NE_OG_04,NE,79,58,69,100,44,0,20,MODELED
NE_OG_05,NE,49,58,72,61,38,0,9,MODELED
NE_OG_06,NE,40,52,74,69,18,0,3,MODELED
NE_C_01,NE,70,79,61,56,60,0,0,MODELED
NE_C_02,NE,62,60,64,49,17,0,11,MODELED
NE_C_03,NE,59,68,52,49,35,0,8,MODELED
NE_EDGE_01,NE,86,100,78,66,42,0,21,MODELED
NE_EDGE_02,NE,80,79,65,56,62,0,0,MODELED
NE_EDGE_03,NE,77,50,68,43,36,0,10,MODELED
NE_EDGE_04,NE,51,41,51,49,41,0,10,MODELED
NE_EDGE_05,NE,77,67,62,58,43,0,15,MODELED
NE_EDGE_06,NE,53,35,70,92,14,0,22,MODELED
NE_EDGE_07,NE,42,48,63,79,36,0,5,MODELED
NE_EDGE_08,NE,62,49,59,66,29,0,3,MODELED
NE_EDGE_09,NE,56,43,77,70,12,0,0,MODELED
NE_DT_01,NE,82,82,75,56,63,0,11,MODELED
NE_DT_02,NE,98,77,64,72,46,0,5,MODELED
NE_DT_03,NE,74,80,44,69,43,0,18,MODELED
NE_DT_04,NE,56,68,58,49,52,0,2,MODELED
NE_DT_05,NE,72,72,68,73,44,0,0,MODELED
NE_DT_06,NE,63,43,55,59,47,0,1,MODELED
NE_DT_07,NE,28,41,74,62,41,0,0,MODELED
NE_DT_08,NE,42,16,74,78,13,0,11,MODELED
NE_LB_01,NE,94,78,20,75,70,0,10,MODELED
NE_LB_02,NE,56,81,67,53,50,0,6,MODELED
NE_LB_03,NE,74,70,37,59,38,0,11,MODELED
NE_LB_04,NE,54,68,65,57,57,0,5,MODELED
NE_LB_05,NE,68,72,60,60,32,0,10,MODELED
NE_LB_06,NE,34,69,68,90,1,0,19,MODELED
NE_LB_07,NE,36,55,42,57,17,0,12,MODELED
NE_LB_08,NE,52,49,64,72,47,0,13,MODELED
NE_CB_01,NE,80,100,89,70,31,0,6,MODELED
NE_CB_02,NE,75,91,72,78,30,0,1,MODELED
NE_CB_03,NE,78,72,84,69,61,0,3,MODELED
NE_CB_04,NE,57,48,72,88,56,0,8,MODELED
NE_CB_05,NE,72,53,56,67,41,0,0,MODELED
NE_CB_06,NE,52,57,72,68,38,0,9,MODELED
NE_CB_07,NE,56,64,86,53,26,0,12,MODELED
NE_CB_08,NE,63,50,87,47,9,0,0,MODELED
NE_CB_09,NE,65,59,79,88,34,0,10,MODELED
NE_CB_10,NE,46,54,66,71,1,0,10,MODELED
NE_CB_11,NE,72,38,59,40,17,0,15,MODELED
NE_S_01,NE,100,64,92,68,54,0,15,MODELED
NE_S_02,NE,97,78,81,76,75,0,16,MODELED
NE_S_03,NE,78,57,88,64,47,0,15,MODELED
NE_S_04,NE,55,73,60,70,26,0,1,MODELED
NE_S_05,NE,58,39,100,59,16,0,15,MODELED
NE_S_06,NE,55,30,77,71,1,0,18,MODELED
NE_S_07,NE,34,27,67,60,48,0,7,MODELED
NE_K_01,NE,81,87,53,69,36,0,9,MODELED
NE_K_02,NE,51,55,45,100,37,0,12,MODELED
NE_P_01,NE,71,81,71,89,32,0,3,MODELED
NE_P_02,NE,37,61,51,71,33,0,21,MODELED
NE_LS_01,NE,83,95,63,55,31,0,8,MODELED
NYJ_QB_01,NYJ,85,97,46,94,70,0,12,MODELED
NYJ_QB_02,NYJ,70,74,36,47,38,0,10,MODELED
NYJ_QB_03,NYJ,74,54,44,50,34,0,9,MODELED
NYJ_QB_04,NYJ,59,17,55,55,39,0,0,MODELED
NYJ_RB_01,NYJ,76,84,27,70,44,0,0,MODELED
NYJ_RB_02,NYJ,90,59,57,48,56,0,10,MODELED
NYJ_RB_03,NYJ,55,73,54,69,23,0,1,MODELED
NYJ_RB_04,NYJ,31,57,67,63,26,0,12,MODELED
NYJ_RB_05,NYJ,31,46,90,80,14,0,4,MODELED
NYJ_FB_01,NYJ,65,95,49,67,50,0,18,MODELED
NYJ_WR_01,NYJ,89,80,62,91,79,0,2,MODELED
NYJ_WR_02,NYJ,81,87,88,73,65,0,27,MODELED
NYJ_WR_03,NYJ,95,89,60,44,50,0,0,MODELED
NYJ_WR_04,NYJ,54,73,52,49,54,0,2,MODELED
NYJ_WR_05,NYJ,86,55,85,61,32,0,14,MODELED
NYJ_WR_06,NYJ,53,62,52,67,35,0,8,MODELED
NYJ_WR_07,NYJ,65,40,66,84,34,0,0,MODELED
NYJ_WR_08,NYJ,62,66,100,46,48,0,21,MODELED
NYJ_WR_09,NYJ,40,36,58,55,1,0,0,MODELED
NYJ_WR_10,NYJ,38,44,50,82,40,0,9,MODELED
NYJ_WR_11,NYJ,58,64,48,76,15,0,15,MODELED
NYJ_TE_01,NYJ,86,87,62,50,100,0,4,MODELED
NYJ_TE_02,NYJ,57,58,76,26,49,0,17,MODELED
NYJ_TE_03,NYJ,66,59,61,74,43,0,14,MODELED
NYJ_TE_04,NYJ,45,45,45,76,37,0,9,MODELED
NYJ_TE_05,NYJ,24,32,67,88,34,0,6,MODELED
NYJ_TE_06,NYJ,64,13,77,51,43,0,7,MODELED
NYJ_OT_01,NYJ,69,93,45,46,75,0,19,MODELED
NYJ_OT_02,NYJ,87,80,66,84,51,0,10,MODELED
NYJ_OT_03,NYJ,68,75,63,43,44,0,20,MODELED
NYJ_OT_04,NYJ,46,67,58,64,66,0,0,MODELED
NYJ_OT_05,NYJ,64,63,60,76,31,0,6,MODELED
NYJ_OT_06,NYJ,39,34,73,52,30,0,16,MODELED
NYJ_OG_01,NYJ,79,75,70,67,56,0,9,MODELED
NYJ_OG_02,NYJ,94,70,66,58,28,0,8,MODELED
NYJ_OG_03,NYJ,57,64,65,74,32,0,9,MODELED
NYJ_OG_04,NYJ,64,81,76,67,57,0,6,MODELED
NYJ_OG_05,NYJ,64,80,100,56,13,0,0,MODELED
NYJ_OG_06,NYJ,46,55,76,91,4,0,4,MODELED
NYJ_C_01,NYJ,75,82,55,70,62,0,0,MODELED
NYJ_C_02,NYJ,79,47,63,73,100,0,5,MODELED
NYJ_C_03,NYJ,65,47,68,84,52,0,0,MODELED
NYJ_EDGE_01,NYJ,76,100,53,69,22,0,14,MODELED
NYJ_EDGE_02,NYJ,72,86,69,69,47,0,20,MODELED
NYJ_EDGE_03,NYJ,68,71,72,74,36,0,0,MODELED
NYJ_EDGE_04,NYJ,48,70,51,76,74,0,0,MODELED
NYJ_EDGE_05,NYJ,68,62,40,90,56,0,7,MODELED
NYJ_EDGE_06,NYJ,44,63,75,64,36,0,5,MODELED
NYJ_EDGE_07,NYJ,34,55,49,68,28,0,6,MODELED
NYJ_EDGE_08,NYJ,63,56,72,69,28,0,9,MODELED
NYJ_EDGE_09,NYJ,29,46,68,76,1,0,6,MODELED
NYJ_DT_01,NYJ,99,92,84,72,61,0,11,MODELED
NYJ_DT_02,NYJ,85,89,76,62,80,0,11,MODELED
NYJ_DT_03,NYJ,67,43,41,70,13,0,13,MODELED
NYJ_DT_04,NYJ,70,67,77,64,60,0,6,MODELED
NYJ_DT_05,NYJ,71,62,71,36,41,0,0,MODELED
NYJ_DT_06,NYJ,32,56,38,75,42,0,2,MODELED
NYJ_DT_07,NYJ,44,41,80,84,12,0,17,MODELED
NYJ_DT_08,NYJ,42,30,62,80,25,0,11,MODELED
NYJ_LB_01,NYJ,58,89,54,67,45,0,16,MODELED
NYJ_LB_02,NYJ,56,75,39,78,38,0,32,MODELED
NYJ_LB_03,NYJ,76,67,30,89,58,0,13,MODELED
NYJ_LB_04,NYJ,58,47,48,82,42,0,8,MODELED
NYJ_LB_05,NYJ,58,58,61,89,54,0,0,MODELED
NYJ_LB_06,NYJ,30,54,46,65,14,0,14,MODELED
NYJ_LB_07,NYJ,63,42,76,45,24,0,0,MODELED
NYJ_LB_08,NYJ,63,49,64,78,24,0,32,MODELED
NYJ_CB_01,NYJ,74,83,77,46,82,0,8,MODELED
NYJ_CB_02,NYJ,79,100,71,51,65,0,4,MODELED
NYJ_CB_03,NYJ,80,51,44,45,57,0,9,MODELED
NYJ_CB_04,NYJ,56,58,77,62,67,0,10,MODELED
NYJ_CB_05,NYJ,77,57,63,59,53,0,7,MODELED
NYJ_CB_06,NYJ,83,76,46,66,22,0,5,MODELED
NYJ_CB_07,NYJ,55,46,69,55,24,0,8,MODELED
NYJ_CB_08,NYJ,58,56,69,70,35,0,2,MODELED
NYJ_CB_09,NYJ,29,51,78,56,23,0,9,MODELED
NYJ_CB_10,NYJ,27,35,86,63,28,0,23,MODELED
NYJ_CB_11,NYJ,50,43,75,56,28,0,6,MODELED
NYJ_S_01,NYJ,90,92,50,47,61,0,20,MODELED
NYJ_S_02,NYJ,79,63,62,72,90,0,7,MODELED
NYJ_S_03,NYJ,73,96,73,90,56,0,13,MODELED
NYJ_S_04,NYJ,56,54,62,52,48,0,2,MODELED
NYJ_S_05,NYJ,57,62,64,82,48,0,1,MODELED
NYJ_S_06,NYJ,45,46,61,35,43,0,22,MODELED
NYJ_S_07,NYJ,42,29,57,38,14,0,2,MODELED
NYJ_K_01,NYJ,78,86,51,56,95,0,32,MODELED
NYJ_K_02,NYJ,64,42,44,78,16,0,15,MODELED
NYJ_P_01,NYJ,84,75,57,62,45,0,13,MODELED
NYJ_P_02,NYJ,59,28,72,66,36,0,5,MODELED
NYJ_LS_01,NYJ,78,84,51,55,63,0,6,MODELED
BAL_QB_01,BAL,83,86,81,65,54,0,0,MODELED
BAL_QB_02,BAL,62,71,78,73,23,0,21,MODELED
BAL_QB_03,BAL,53,35,100,73,42,0,10,MODELED
BAL_QB_04,BAL,48,31,66,97,41,0,8,MODELED
BAL_RB_01,BAL,91,81,57,95,66,0,13,MODELED
BAL_RB_02,BAL,70,68,42,81,48,0,5,MODELED
BAL_RB_03,BAL,75,48,46,61,66,0,6,MODELED
BAL_RB_04,BAL,70,67,67,48,43,0,4,MODELED
BAL_RB_05,BAL,52,57,65,100,40,0,18,MODELED
BAL_FB_01,BAL,89,98,65,89,35,0,20,MODELED
BAL_WR_01,BAL,75,60,84,45,59,0,6,MODELED
BAL_WR_02,BAL,94,77,51,78,60,0,8,MODELED
BAL_WR_03,BAL,71,68,51,76,67,0,4,MODELED
BAL_WR_04,BAL,74,60,48,48,36,0,0,MODELED
BAL_WR_05,BAL,40,85,50,84,42,0,0,MODELED
BAL_WR_06,BAL,67,59,75,62,57,0,0,MODELED
BAL_WR_07,BAL,30,33,46,62,18,0,0,MODELED
BAL_WR_08,BAL,47,57,53,71,30,0,11,MODELED
BAL_WR_09,BAL,29,24,41,60,50,0,7,MODELED
BAL_WR_10,BAL,35,27,70,7,3,0,5,MODELED
BAL_WR_11,BAL,53,40,79,69,47,0,3,MODELED
BAL_TE_01,BAL,87,90,53,66,73,0,0,MODELED
BAL_TE_02,BAL,48,57,78,90,47,0,10,MODELED
BAL_TE_03,BAL,59,51,66,67,49,0,0,MODELED
BAL_TE_04,BAL,41,44,56,84,33,0,5,MODELED
BAL_TE_05,BAL,54,22,58,48,52,0,0,MODELED
BAL_TE_06,BAL,37,28,83,95,10,0,15,MODELED
BAL_OT_01,BAL,100,58,41,59,64,0,13,MODELED
BAL_OT_02,BAL,71,75,47,69,38,0,25,MODELED
BAL_OT_03,BAL,78,61,61,79,50,0,6,MODELED
BAL_OT_04,BAL,81,73,81,51,49,0,0,MODELED
BAL_OT_05,BAL,58,48,62,58,45,0,25,MODELED
BAL_OT_06,BAL,63,27,90,81,3,0,0,MODELED
BAL_OG_01,BAL,82,86,90,40,51,0,9,MODELED
BAL_OG_02,BAL,88,79,16,45,100,0,8,MODELED
BAL_OG_03,BAL,70,60,68,71,72,0,2,MODELED
BAL_OG_04,BAL,48,63,67,68,35,0,14,MODELED
BAL_OG_05,BAL,45,41,56,49,17,0,5,MODELED
BAL_OG_06,BAL,53,52,60,64,21,0,5,MODELED
BAL_C_01,BAL,89,73,73,77,36,0,6,MODELED
BAL_C_02,BAL,68,92,87,63,66,0,1,MODELED
BAL_C_03,BAL,43,51,66,52,40,0,11,MODELED
BAL_EDGE_01,BAL,94,78,49,68,74,0,11,MODELED
BAL_EDGE_02,BAL,87,83,62,52,100,0,22,MODELED
BAL_EDGE_03,BAL,57,69,53,77,100,0,1,MODELED
BAL_EDGE_04,BAL,62,46,50,42,55,0,15,MODELED
BAL_EDGE_05,BAL,72,53,77,83,61,0,8,MODELED
BAL_EDGE_06,BAL,49,58,44,83,44,0,6,MODELED
BAL_EDGE_07,BAL,47,33,54,55,50,0,0,MODELED
BAL_EDGE_08,BAL,50,43,77,87,22,0,11,MODELED
BAL_EDGE_09,BAL,73,34,67,65,29,0,0,MODELED
BAL_DT_01,BAL,78,100,43,86,54,0,0,MODELED
BAL_DT_02,BAL,72,76,41,59,42,0,4,MODELED
BAL_DT_03,BAL,44,64,82,70,47,0,14,MODELED
BAL_DT_04,BAL,72,66,52,55,67,0,2,MODELED
BAL_DT_05,BAL,74,74,57,63,55,0,17,MODELED
BAL_DT_06,BAL,53,69,65,74,46,0,8,MODELED
BAL_DT_07,BAL,59,29,52,83,38,0,4,MODELED
BAL_DT_08,BAL,8,52,91,35,36,0,0,MODELED
BAL_LB_01,BAL,79,77,51,100,51,0,5,MODELED
BAL_LB_02,BAL,88,65,21,52,86,0,0,MODELED
BAL_LB_03,BAL,86,83,47,48,40,0,14,MODELED
BAL_LB_04,BAL,62,40,71,98,15,0,5,MODELED
BAL_LB_05,BAL,79,52,42,51,57,0,20,MODELED
BAL_LB_06,BAL,59,56,64,40,28,0,15,MODELED
BAL_LB_07,BAL,44,63,71,79,26,0,16,MODELED
BAL_LB_08,BAL,29,36,75,73,14,0,0,MODELED
BAL_CB_01,BAL,58,82,46,69,59,0,0,MODELED
BAL_CB_02,BAL,98,91,38,79,32,0,10,MODELED
BAL_CB_03,BAL,84,98,57,71,57,0,0,MODELED
BAL_CB_04,BAL,72,57,89,67,22,0,5,MODELED
BAL_CB_05,BAL,63,63,68,75,62,0,20,MODELED
