player_id,team_id,designation,injury_type,weeks_out_estimate,season_ending,data_class
BAL_LB_04,BAL,NFI,Shoulder,5,0,MODELED
BAL_CB_02,BAL,DAY_TO_DAY,Foot,2,0,MODELED
BAL_CB_11,BAL,PUP,Foot,10,0,MODELED
BAL_S_05,BAL,DAY_TO_DAY,Pectoral,3,0,MODELED
PIT_QB_04,PIT,DAY_TO_DAY,Ankle,1,0,MODELED
PIT_RB_05,PIT,DAY_TO_DAY,Knee (ACL),3,0,MODELED
PIT_WR_04,PIT,DAY_TO_DAY,Groin,2,0,MODELED
PIT_WR_05,PIT,DAY_TO_DAY,Knee (MCL),2,0,MODELED
PIT_OG_02,PIT,DAY_TO_DAY,Hand,3,0,MODELED
PIT_OG_04,PIT,IR,Foot,2,0,MODELED
PIT_C_02,PIT,DAY_TO_DAY,Shoulder,3,0,MODELED
PIT_EDGE_05,PIT,IR,Hand,11,0,MODELED
PIT_DT_04,PIT,IR,Foot,15,1,MODELED
PIT_DT_05,PIT,PUP,Groin,8,0,MODELED
PIT_CB_05,PIT,DAY_TO_DAY,Hand,2,0,MODELED
CLE_FB_01,CLE,DAY_TO_DAY,Concussion,3,0,MODELED
CLE_WR_01,CLE,PUP,Knee (MCL),3,0,MODELED
CLE_OG_04,CLE,IR,Pectoral,9,0,MODELED
CLE_C_02,CLE,DAY_TO_DAY,Pectoral,3,0,MODELED
CLE_EDGE_01,CLE,DAY_TO_DAY,Knee (ACL),1,0,MODELED
CLE_EDGE_03,CLE,DAY_TO_DAY,Knee (MCL),1,0,MODELED
CLE_EDGE_07,CLE,DAY_TO_DAY,Hand,3,0,MODELED
CIN_QB_01,CIN,DAY_TO_DAY,Hamstring,3,0,MODELED
CIN_WR_09,CIN,DAY_TO_DAY,Back,1,0,MODELED
CIN_WR_10,CIN,PUP,Ankle,12,0,MODELED
CIN_TE_01,CIN,DAY_TO_DAY,Hamstring,1,0,MODELED
CIN_OT_03,CIN,DAY_TO_DAY,Back,1,0,MODELED
CIN_OT_05,CIN,DAY_TO_DAY,Shoulder,3,0,MODELED
CIN_EDGE_04,CIN,IR,Back,8,0,MODELED
CIN_DT_03,CIN,DAY_TO_DAY,Concussion,3,0,MODELED
CIN_LB_06,CIN,DAY_TO_DAY,Back,2,0,MODELED
CIN_CB_05,CIN,PUP,Achilles,2,0,MODELED
CIN_P_01,CIN,IR,Achilles,7,0,MODELED
HOU_QB_02,HOU,DAY_TO_DAY,Shoulder,1,0,MODELED
HOU_FB_01,HOU,IR,Concussion,4,0,MODELED
HOU_EDGE_01,HOU,DAY_TO_DAY,Hamstring,3,0,MODELED
HOU_EDGE_08,HOU,DAY_TO_DAY,Back,1,0,MODELED
HOU_EDGE_09,HOU,DAY_TO_DAY,Back,3,0,MODELED
HOU_DT_01,HOU,IR,Hamstring,16,1,MODELED
HOU_LB_04,HOU,DAY_TO_DAY,Knee (MCL),1,0,MODELED
HOU_CB_06,HOU,DAY_TO_DAY,Hand,3,0,MODELED
HOU_P_02,HOU,IR,Knee (ACL),6,0,MODELED
IND_QB_03,IND,DAY_TO_DAY,Ankle,2,0,MODELED
IND_RB_01,IND,DAY_TO_DAY,Concussion,3,0,MODELED
IND_RB_03,IND,DAY_TO_DAY,Shoulder,1,0,MODELED
IND_FB_01,IND,DAY_TO_DAY,Foot,1,0,MODELED
IND_WR_04,IND,DAY_TO_DAY,Ankle,2,0,MODELED
IND_WR_05,IND,DAY_TO_DAY,Hand,1,0,MODELED
IND_WR_07,IND,PUP,Concussion,13,0,MODELED
IND_OT_02,IND,DAY_TO_DAY,Groin,2,0,MODELED
IND_OG_04,IND,DAY_TO_DAY,Hand,2,0,MODELED
IND_OG_05,IND,DAY_TO_DAY,Shoulder,1,0,MODELED
IND_LB_05,IND,DAY_TO_DAY,Hand,1,0,MODELED
IND_LB_07,IND,PUP,Knee (ACL),11,0,MODELED
IND_CB_01,IND,IR,Foot,11,0,MODELED
IND_CB_07,IND,DAY_TO_DAY,Hand,1,0,MODELED
IND_CB_09,IND,PUP,Hand,13,0,MODELED
JAX_QB_04,JAX,PUP,Back,2,0,MODELED
JAX_RB_03,JAX,IR,Ankle,12,0,MODELED
JAX_WR_10,JAX,NFI,Achilles,5,0,MODELED
JAX_OT_04,JAX,DAY_TO_DAY,Ankle,1,0,MODELED
JAX_OG_02,JAX,DAY_TO_DAY,Pectoral,1,0,MODELED
JAX_OG_04,JAX,NFI,Concussion,10,0,MODELED
JAX_OG_06,JAX,DAY_TO_DAY,Foot,1,0,MODELED
JAX_EDGE_05,JAX,PUP,Achilles,8,0,MODELED
JAX_LB_05,JAX,PUP,Knee (ACL),2,0,MODELED
JAX_P_01,JAX,DAY_TO_DAY,Shoulder,3,0,MODELED
TEN_WR_07,TEN,DAY_TO_DAY,Knee (ACL),3,0,MODELED
TEN_WR_10,TEN,NFI,Hand,13,0,MODELED
TEN_WR_11,TEN,DAY_TO_DAY,Pectoral,3,0,MODELED
TEN_OT_03,TEN,IR,Hamstring,9,0,MODELED
TEN_OG_03,TEN,IR,Achilles,15,1,MODELED
TEN_CB_11,TEN,DAY_TO_DAY,Knee (MCL),1,0,MODELED
TEN_S_01,TEN,DAY_TO_DAY,Foot,1,0,MODELED
TEN_S_03,TEN,DAY_TO_DAY,Concussion,2,0,MODELED
DEN_QB_03,DEN,IR,Back,11,0,MODELED
DEN_OT_01,DEN,IR,Back,2,0,MODELED
DEN_C_02,DEN,DAY_TO_DAY,Foot,2,0,MODELED
DEN_EDGE_04,DEN,DAY_TO_DAY,Achilles,1,0,MODELED
DEN_EDGE_08,DEN,NFI,Groin,9,0,MODELED
DEN_LB_04,DEN,NFI,Groin,14,1,MODELED
DEN_CB_06,DEN,DAY_TO_DAY,Back,1,0,MODELED
DEN_S_02,DEN,IR,Shoulder,7,0,MODELED
KC_WR_04,KC,DAY_TO_DAY,Ankle,2,0,MODELED
KC_WR_11,KC,DAY_TO_DAY,Groin,2,0,MODELED
KC_C_03,KC,DAY_TO_DAY,Back,2,0,MODELED
KC_EDGE_05,KC,DAY_TO_DAY,Pectoral,3,0,MODELED
KC_K_01,KC,DAY_TO_DAY,Knee (ACL),3,0,MODELED
KC_LS_01,KC,DAY_TO_DAY,Knee (MCL),2,0,MODELED
LV_QB_04,LV,DAY_TO_DAY,Concussion,2,0,MODELED
LV_OT_04,LV,DAY_TO_DAY,Hamstring,1,0,MODELED
LV_OG_02,LV,IR,Knee (MCL),11,0,MODELED
LV_OG_03,LV,DAY_TO_DAY,Knee (MCL),1,0,MODELED
LV_EDGE_09,LV,DAY_TO_DAY,Knee (ACL),3,0,MODELED
LV_DT_02,LV,DAY_TO_DAY,Back,1,0,MODELED
LV_DT_06,LV,DAY_TO_DAY,Knee (ACL),1,0,MODELED
LV_CB_04,LV,NFI,Ankle,5,0,MODELED
LV_CB_07,LV,DAY_TO_DAY,Knee (ACL),1,0,MODELED
LV_S_06,LV,DAY_TO_DAY,Shoulder,1,0,MODELED
LV_S_07,LV,DAY_TO_DAY,Knee (ACL),3,0,MODELED
LV_LS_01,LV,DAY_TO_DAY,Concussion,3,0,MODELED
LAC_QB_03,LAC,DAY_TO_DAY,Hand,1,0,MODELED
LAC_WR_02,LAC,IR,Foot,12,0,MODELED
LAC_WR_05,LAC,DAY_TO_DAY,Back,1,0,MODELED
LAC_OG_03,LAC,DAY_TO_DAY,Foot,2,0,MODELED
LAC_C_01,LAC,DAY_TO_DAY,Hand,1,0,MODELED
LAC_LB_05,LAC,DAY_TO_DAY,Concussion,3,0,MODELED
LAC_S_03,LAC,DAY_TO_DAY,Hamstring,3,0,MODELED
LAC_K_02,LAC,DAY_TO_DAY,Concussion,2,0,MODELED
DAL_QB_04,DAL,DAY_TO_DAY,Back,1,0,MODELED
DAL_RB_02,DAL,DAY_TO_DAY,Ankle,3,0,MODELED
DAL_WR_01,DAL,PUP,Groin,10,0,MODELED
DAL_TE_03,DAL,DAY_TO_DAY,Pectoral,2,0,MODELED
DAL_EDGE_04,DAL,DAY_TO_DAY,Knee (MCL),2,0,MODELED
DAL_EDGE_08,DAL,DAY_TO_DAY,Back,3,0,MODELED
DAL_DT_04,DAL,DAY_TO_DAY,Shoulder,3,0,MODELED
DAL_DT_05,DAL,DAY_TO_DAY,Groin,2,0,MODELED
DAL_DT_08,DAL,IR,Knee (ACL),9,0,MODELED
DAL_CB_02,DAL,NFI,Groin,5,0,MODELED
DAL_CB_06,DAL,DAY_TO_DAY,Knee (ACL),1,0,MODELED
DAL_CB_09,DAL,DAY_TO_DAY,Knee (ACL),2,0,MODELED
DAL_S_07,DAL,DAY_TO_DAY,Pectoral,3,0,MODELED
DAL_P_01,DAL,DAY_TO_DAY,Back,3,0,MODELED
PHI_RB_04,PHI,DAY_TO_DAY,Hamstring,3,0,MODELED
PHI_WR_05,PHI,IR,Pectoral,14,1,MODELED
PHI_OG_05,PHI,DAY_TO_DAY,Pectoral,1,0,MODELED
PHI_LB_04,PHI,DAY_TO_DAY,Achilles,2,0,MODELED
PHI_CB_01,PHI,NFI,Concussion,4,0,MODELED
PHI_CB_06,PHI,DAY_TO_DAY,Hamstring,1,0,MODELED
PHI_CB_07,PHI,DAY_TO_DAY,Ankle,2,0,MODELED
PHI_P_01,PHI,IR,Hand,10,0,MODELED
WAS_QB_04,WAS,DAY_TO_DAY,Pectoral,2,0,MODELED
WAS_WR_02,WAS,PUP,Pectoral,6,0,MODELED
WAS_WR_08,WAS,NFI,Foot,3,0,MODELED
WAS_TE_02,WAS,DAY_TO_DAY,Ankle,3,0,MODELED
WAS_OG_01,WAS,DAY_TO_DAY,Concussion,3,0,MODELED
WAS_DT_06,WAS,PUP,Groin,5,0,MODELED
WAS_LB_02,WAS,DAY_TO_DAY,Concussion,2,0,MODELED
WAS_LB_04,WAS,DAY_TO_DAY,Hamstring,2,0,MODELED
WAS_LB_05,WAS,DAY_TO_DAY,Foot,3,0,MODELED
WAS_LB_06,WAS,DAY_TO_DAY,Concussion,2,0,MODELED
NYG_QB_02,NYG,DAY_TO_DAY,Shoulder,1,0,MODELED
NYG_WR_10,NYG,NFI,Pectoral,15,1,MODELED
NYG_OT_04,NYG,DAY_TO_DAY,Back,1,0,MODELED
NYG_OT_05,NYG,DAY_TO_DAY,Foot,1,0,MODELED
NYG_OG_04,NYG,PUP,Concussion,16,1,MODELED
NYG_EDGE_02,NYG,DAY_TO_DAY,Achilles,3,0,MODELED
NYG_DT_06,NYG,DAY_TO_DAY,Concussion,3,0,MODELED
NYG_CB_10,NYG,DAY_TO_DAY,Groin,2,0,MODELED
NYG_S_04,NYG,DAY_TO_DAY,Pectoral,2,0,MODELED
NYG_K_02,NYG,DAY_TO_DAY,Foot,2,0,MODELED
CHI_RB_01,CHI,PUP,Groin,2,0,MODELED
CHI_WR_02,CHI,IR,Groin,14,1,MODELED
CHI_TE_02,CHI,DAY_TO_DAY,Knee (ACL),2,0,MODELED
CHI_OG_03,CHI,NFI,Concussion,2,0,MODELED
CHI_EDGE_01,CHI,DAY_TO_DAY,Ankle,1,0,MODELED
CHI_EDGE_08,CHI,DAY_TO_DAY,Groin,1,0,MODELED
CHI_DT_06,CHI,DAY_TO_DAY,Achilles,3,0,MODELED
CHI_LB_04,CHI,NFI,Concussion,15,1,MODELED
CHI_CB_11,CHI,DAY_TO_DAY,Hamstring,1,0,MODELED
CHI_S_05,CHI,DAY_TO_DAY,Pectoral,3,0,MODELED
DET_QB_02,DET,DAY_TO_DAY,Concussion,2,0,MODELED
DET_RB_03,DET,IR,Achilles,3,0,MODELED
DET_RB_04,DET,DAY_TO_DAY,Knee (MCL),2,0,MODELED
DET_OG_06,DET,IR,Groin,2,0,MODELED
DET_C_03,DET,DAY_TO_DAY,Pectoral,3,0,MODELED
DET_CB_02,DET,DAY_TO_DAY,Shoulder,3,0,MODELED
DET_CB_08,DET,DAY_TO_DAY,Hamstring,1,0,MODELED
DET_CB_09,DET,DAY_TO_DAY,Ankle,1,0,MODELED
DET_S_04,DET,IR,Back,5,0,MODELED
DET_LS_01,DET,DAY_TO_DAY,Shoulder,3,0,MODELED
GB_WR_02,GB,DAY_TO_DAY,Ankle,2,0,MODELED
GB_TE_01,GB,DAY_TO_DAY,Concussion,3,0,MODELED
GB_OT_01,GB,PUP,Back,16,1,MODELED
GB_OT_02,GB,IR,Back,13,0,MODELED
GB_OG_02,GB,DAY_TO_DAY,Back,1,0,MODELED
GB_OG_06,GB,IR,Achilles,4,0,MODELED
GB_DT_03,GB,DAY_TO_DAY,Foot,1,0,MODELED
GB_DT_08,GB,DAY_TO_DAY,Ankle,3,0,MODELED
GB_CB_07,GB,PUP,Achilles,16,1,MODELED
GB_P_01,GB,PUP,Achilles,2,0,MODELED
GB_P_02,GB,PUP,Knee (MCL),9,0,MODELED
MIN_QB_01,MIN,IR,Hand,10,0,MODELED
MIN_RB_04,MIN,IR,Concussion,5,0,MODELED
MIN_OG_02,MIN,DAY_TO_DAY,Knee (MCL),3,0,MODELED
MIN_EDGE_01,MIN,DAY_TO_DAY,Ankle,1,0,MODELED
MIN_EDGE_02,MIN,PUP,Foot,4,0,MODELED
MIN_EDGE_03,MIN,PUP,Hamstring,15,1,MODELED
MIN_S_01,MIN,IR,Concussion,7,0,MODELED
ATL_RB_03,ATL,IR,Hamstring,10,0,MODELED
ATL_WR_01,ATL,DAY_TO_DAY,Hand,3,0,MODELED
ATL_WR_03,ATL,DAY_TO_DAY,Hand,2,0,MODELED
ATL_OT_02,ATL,DAY_TO_DAY,Knee (ACL),1,0,MODELED
ATL_OT_04,ATL,DAY_TO_DAY,Shoulder,1,0,MODELED
ATL_OG_02,ATL,NFI,Foot,5,0,MODELED
ATL_C_01,ATL,DAY_TO_DAY,Concussion,2,0,MODELED
ATL_EDGE_04,ATL,DAY_TO_DAY,Concussion,3,0,MODELED
ATL_EDGE_06,ATL,DAY_TO_DAY,Concussion,3,0,MODELED
ATL_DT_07,ATL,DAY_TO_DAY,Knee (MCL),1,0,MODELED
ATL_CB_05,ATL,DAY_TO_DAY,Shoulder,2,0,MODELED
CAR_OT_05,CAR,PUP,Shoulder,3,0,MODELED
CAR_OG_01,CAR,DAY_TO_DAY,Hand,2,0,MODELED
CAR_OG_03,CAR,DAY_TO_DAY,Hand,2,0,MODELED
CAR_DT_03,CAR,DAY_TO_DAY,Concussion,2,0,MODELED
CAR_DT_06,CAR,DAY_TO_DAY,Hand,3,0,MODELED
CAR_LB_01,CAR,DAY_TO_DAY,Foot,2,0,MODELED
CAR_LB_08,CAR,PUP,Foot,2,0,MODELED
CAR_S_03,CAR,DAY_TO_DAY,Hand,2,0,MODELED
CAR_K_01,CAR,IR,Knee (ACL),2,0,MODELED
CAR_LS_01,CAR,PUP,Hamstring,13,0,MODELED
NO_FB_01,NO,DAY_TO_DAY,Ankle,3,0,MODELED
NO_WR_01,NO,DAY_TO_DAY,Concussion,3,0,MODELED
NO_WR_06,NO,IR,Shoulder,8,0,MODELED
NO_WR_10,NO,DAY_TO_DAY,Achilles,3,0,MODELED
NO_TE_03,NO,IR,Hand,11,0,MODELED
NO_OT_02,NO,IR,Knee (MCL),14,1,MODELED
NO_LB_03,NO,DAY_TO_DAY,Pectoral,1,0,MODELED
NO_CB_08,NO,DAY_TO_DAY,Pectoral,1,0,MODELED
TB_WR_06,TB,DAY_TO_DAY,Shoulder,3,0,MODELED
TB_TE_03,TB,NFI,Groin,12,0,MODELED
TB_OT_01,TB,DAY_TO_DAY,Ankle,3,0,MODELED
TB_OT_04,TB,IR,Shoulder,13,0,MODELED
TB_OT_06,TB,DAY_TO_DAY,Shoulder,2,0,MODELED
TB_OG_04,TB,DAY_TO_DAY,Pectoral,3,0,MODELED
TB_EDGE_03,TB,DAY_TO_DAY,Pectoral,3,0,MODELED
TB_EDGE_07,TB,IR,Groin,16,1,MODELED
TB_LB_01,TB,DAY_TO_DAY,Shoulder,2,0,MODELED
TB_CB_06,TB,IR,Shoulder,4,0,MODELED
TB_S_01,TB,DAY_TO_DAY,Shoulder,1,0,MODELED
TB_P_02,TB,DAY_TO_DAY,Pectoral,1,0,MODELED
TB_LS_01,TB,PUP,Achilles,6,0,MODELED
ARI_QB_01,ARI,DAY_TO_DAY,Back,2,0,MODELED
ARI_QB_03,ARI,DAY_TO_DAY,Knee (ACL),3,0,MODELED
ARI_FB_01,ARI,IR,Knee (ACL),4,0,MODELED
ARI_OG_04,ARI,DAY_TO_DAY,Concussion,3,0,MODELED
ARI_EDGE_07,ARI,DAY_TO_DAY,Ankle,1,0,MODELED
ARI_DT_03,ARI,IR,Knee (ACL),10,0,MODELED
ARI_CB_11,ARI,NFI,Back,15,1,MODELED
LAR_RB_01,LAR,PUP,Ankle,7,0,MODELED
LAR_WR_09,LAR,DAY_TO_DAY,Knee (ACL),1,0,MODELED
LAR_TE_05,LAR,DAY_TO_DAY,Hand,1,0,MODELED
LAR_LB_07,LAR,DAY_TO_DAY,Hand,1,0,MODELED
LAR_LB_08,LAR,DAY_TO_DAY,Foot,3,0,MODELED
LAR_CB_09,LAR,DAY_TO_DAY,Back,1,0,MODELED
LAR_P_01,LAR,IR,Pectoral,12,0,MODELED
SF_QB_03,SF,DAY_TO_DAY,Hamstring,3,0,MODELED
SF_QB_04,SF,PUP,Foot,8,0,MODELED
SF_RB_02,SF,DAY_TO_DAY,Concussion,1,0,MODELED
SF_WR_06,SF,DAY_TO_DAY,Shoulder,2,0,MODELED
SF_TE_04,SF,PUP,Hamstring,15,1,MODELED
SF_EDGE_05,SF,DAY_TO_DAY,Hamstring,2,0,MODELED
SF_EDGE_07,SF,PUP,Foot,7,0,MODELED
SF_LB_07,SF,DAY_TO_DAY,Knee (ACL),1,0,MODELED
SF_CB_06,SF,DAY_TO_DAY,Knee (MCL),1,0,MODELED
SF_K_01,SF,DAY_TO_DAY,Hamstring,2,0,MODELED
SF_P_02,SF,DAY_TO_DAY,Knee (MCL),3,0,MODELED
SEA_QB_03,SEA,NFI,Knee (ACL),5,0,MODELED
SEA_RB_01,SEA,DAY_TO_DAY,Ankle,1,0,MODELED
SEA_TE_01,SEA,DAY_TO_DAY,Foot,1,0,MODELED
SEA_OT_04,SEA,NFI,Ankle,16,1,MODELED
SEA_OT_06,SEA,DAY_TO_DAY,Hand,2,0,MODELED
SEA_EDGE_02,SEA,IR,Knee (ACL),14,1,MODELED
SEA_EDGE_04,SEA,DAY_TO_DAY,Foot,3,0,MODELED
SEA_EDGE_09,SEA,DAY_TO_DAY,Back,2,0,MODELED
SEA_DT_01,SEA,DAY_TO_DAY,Concussion,3,0,MODELED
SEA_DT_08,SEA,DAY_TO_DAY,Foot,1,0,MODELED
SEA_LB_03,SEA,DAY_TO_DAY,Back,3,0,MODELED
SEA_CB_09,SEA,DAY_TO_DAY,Concussion,1,0,MODELED
SEA_K_01,SEA,IR,Groin,7,0,MODELED
SEA_K_02,SEA,DAY_TO_DAY,Groin,2,0,MODELED
