player_id,position,season,team
P101142_TE,TE,2030,FIRST
SF_OT_01,OT,2030,FIRST
MIN_OT_02,OT,2030,FIRST
PIT_OG_02,OG,2030,FIRST
NE_OG_01,OG,2030,FIRST
ARI_C_01,C,2030,FIRST
P100586_EDGE,EDGE,2030,FIRST
SF_EDGE_02,EDGE,2030,FIRST
NE_DT_01,DT,2030,FIRST
GB_DT_01,DT,2030,FIRST
P100783_LB,LB,2030,FIRST
P100884_LB,LB,2030,FIRST
CAR_CB_01,CB,2030,FIRST
WAS_CB_02,CB,2030,FIRST
PHI_S_02,S,2030,FIRST
DET_S_03,S,2030,FIRST
FA_K_006,K,2030,FIRST
WAS_P_01,P,2030,FIRST
PIT_QB_01,QB,2030,SECOND
P100963_RB,RB,2030,SECOND
P100404_WR,WR,2030,SECOND
PIT_WR_02,WR,2030,SECOND
KC_WR_03,WR,2030,SECOND
DEN_TE_01,TE,2030,SECOND
P100242_OT,OT,2030,SECOND
HOU_OT_01,OT,2030,SECOND
CAR_OG_01,OG,2030,SECOND
SF_OG_02,OG,2030,SECOND
CAR_C_01,C,2030,SECOND
NYJ_EDGE_01,EDGE,2030,SECOND
PIT_EDGE_05,EDGE,2030,SECOND
BAL_DT_02,DT,2030,SECOND
ATL_DT_01,DT,2030,SECOND
P100357_LB,LB,2030,SECOND
JAX_LB_02,LB,2030,SECOND
LAR_CB_01,CB,2030,SECOND
LV_CB_06,CB,2030,SECOND
TB_S_02,S,2030,SECOND
CHI_S_04,S,2030,SECOND
IND_K_01,K,2030,SECOND
MIN_P_01,P,2030,SECOND
GB_QB_01,QB,2031,FIRST
P100007_RB,RB,2031,FIRST
PHI_WR_03,WR,2031,FIRST
NE_WR_02,WR,2031,FIRST
PIT_WR_02,WR,2031,FIRST
DEN_TE_01,TE,2031,FIRST
P100817_OT,OT,2031,FIRST
MIN_OT_01,OT,2031,FIRST
TEN_OG_01,OG,2031,FIRST
P101197_OG,OG,2031,FIRST
CAR_C_01,C,2031,FIRST
P100707_EDGE,EDGE,2031,FIRST
P100586_EDGE,EDGE,2031,FIRST
MIN_DT_01,DT,2031,FIRST
P101200_DT,DT,2031,FIRST
PIT_LB_04,LB,2031,FIRST
P101291_LB,LB,2031,FIRST
CAR_CB_01,CB,2031,FIRST
ATL_CB_02,CB,2031,FIRST
TB_S_01,S,2031,FIRST
ARI_S_01,S,2031,FIRST
NYJ_K_01,K,2031,FIRST
TEN_P_01,P,2031,FIRST
IND_QB_01,QB,2031,SECOND
P100464_RB,RB,2031,SECOND
KC_WR_01,WR,2031,SECOND
NYJ_WR_02,WR,2031,SECOND
P101125_WR,WR,2031,SECOND
SEA_TE_02,TE,2031,SECOND
DAL_OT_02,OT,2031,SECOND
SF_OT_01,OT,2031,SECOND
P100688_OG,OG,2031,SECOND
CAR_OG_01,OG,2031,SECOND
LAC_C_01,C,2031,SECOND
P100946_EDGE,EDGE,2031,SECOND
MIA_EDGE_01,EDGE,2031,SECOND
TEN_DT_01,DT,2031,SECOND
GB_DT_05,DT,2031,SECOND
P100233_LB,LB,2031,SECOND
CAR_LB_01,LB,2031,SECOND
IND_CB_01,CB,2031,SECOND
KC_CB_02,CB,2031,SECOND
DET_S_02,S,2031,SECOND
BUF_S_02,S,2031,SECOND
SF_K_01,K,2031,SECOND
P101131_P,P,2031,SECOND
