competition_type,new_holder,new_value,previous_holder,previous_value,record,season
PLAYOFFS,CLE_WR_02,5.0,DEN_WR_02,4.0,career_rec_td,2029
PLAYOFFS,IND_EDGE_02,9.0,SF_EDGE_01,7.0,career_sacks,2029
PLAYOFFS,NYJ_LB_02,57.0,DET_LB_01,52.0,career_tackles,2029
REGULAR_SEASON,P100963_RB,2291.0,LAC_RB_02,2202.0,season_rush_yd,2030
REGULAR_SEASON,PIT_WR_05,11.0,PHI_WR_03,10.0,season_rec_td,2030
REGULAR_SEASON,KC_WR_03,31.0,PHI_WR_03,29.0,career_rec_td,2030
REGULAR_SEASON,BAL_EDGE_01,53.0,BAL_EDGE_02,49.0,career_sacks,2030
REGULAR_SEASON,CLE_EDGE_01,11.0,PIT_DT_02,10.0,career_forced_fumbles,2030
PLAYOFFS,DEN_QB_01,2714.0,CHI_QB_01,2431.0,career_pass_yd,2030
PLAYOFFS,CAR_QB_01,22.0,CHI_QB_01,21.0,career_pass_td,2030
PLAYOFFS,CIN_RB_01,1030.0,NYG_RB_03,702.0,career_rush_yd,2030
PLAYOFFS,CIN_RB_01,10.0,SF_RB_01,7.0,career_rush_td,2030
PLAYOFFS,CIN_RB_01,203.0,NYG_RB_03,146.0,career_rec,2030
PLAYOFFS,CIN_RB_01,2454.0,NYG_RB_03,1671.0,career_rec_yd,2030
PLAYOFFS,LAR_QB_01,8.0,TEN_QB_01,6.0,career_int,2030
REGULAR_SEASON,DEN_QB_01,5120.0,CHI_QB_01,5073.0,season_pass_yd,2031
REGULAR_SEASON,DET_RB_02,445.0,PIT_RB_01,422.0,season_rec,2031
REGULAR_SEASON,DET_RB_02,5120.0,PIT_RB_01,4589.0,season_rec_yd,2031
REGULAR_SEASON,P101267_DT,6.0,CHI_EDGE_02,5.0,season_forced_fumbles,2031
REGULAR_SEASON,PHI_WR_03,39.0,KC_WR_03,31.0,career_rec_td,2031
REGULAR_SEASON,BAL_EDGE_02,65.0,BAL_EDGE_01,53.0,career_sacks,2031
REGULAR_SEASON,TB_QB_02,72.0,HOU_QB_01,63.0,career_int,2031
REGULAR_SEASON,SEA_DT_02,13.0,CLE_EDGE_01,11.0,career_forced_fumbles,2031
PLAYOFFS,DEN_QB_01,32.0,CAR_QB_01,22.0,career_pass_td,2031
PLAYOFFS,DET_EDGE_02,10.0,IND_EDGE_02,9.0,career_sacks,2031
PLAYOFFS,LV_QB_01,9.0,LAR_QB_01,8.0,career_int,2031
