assists,batted_passes,big_time_throws,blitz_snaps,broken_tackles,clean_att,competition_type,completions,contested_catches,contested_targets,coverage_snaps,deep_att,deep_comp,deep_targets,drops,drops_by_receivers,explosive_runs,fg_att,fg_att_30_39,fg_att_40_49,fg_att_50p,fg_att_u30,fg_made,fg_made_30_39,fg_made_40_49,fg_made_50p,fg_made_u30,first_downs,forced_fumbles,forced_incompletions,fumbles,fumbles_lost,games,gross_yards,gw_att,hits_allowed,hurries,hurries_allowed,inside_10,inside_20,int,kickoffs,longest,longest_fg,missed_tackles,missed_tackles_forced,net_yards,pass_att,pass_block_efficiency,pass_block_snaps,pass_breakups,pass_rush_snaps,pass_rush_win_rate,pass_td,pass_yd,passer_rating_allowed,penalties,play_action_att,player_id,position,pressure_att,pressure_comp,pressure_yd,pressures,pressures_allowed,punts,qb_hits,rec,rec_allowed,rec_td,rec_yd,return_yards_allowed,routes,run_block_losses,run_block_snaps,run_block_wins,run_stops,rush_att,rush_td,rush_yd,sack_yards,sacks,sacks_allowed,sacks_taken,scrambles,season,snaps,solo,starts,tackles,targets,td_allowed,team_id,tfl,throwaways,touchbacks,turnover_worthy_plays,week,xp_att,xp_made,yac,yards_after_contact,yards_allowed,yards_before_contact,yards_per_cov_snap
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,3.0,,12.0,,,,,,,,,,,1299.6,510.0,,,,,,,9.0,,MIA_OT_04,OT,,,,,21.0,,,,,,,,,40.0,415.0,154.0,,,,,,,6.0,,,2026,925.0,,14.0,,,,MIA,,,,,,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,1.0,,11.0,,,,,,,,,,,1630.7,617.0,,,,,,,10.0,,MIA_OT_02,OT,,,,,16.0,,,,,,,,,31.0,501.0,227.0,,,,,,,4.0,,,2026,1118.0,,17.0,,,,MIA,,,,,,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,4.0,,13.0,,,,,,,,,,,1523.1,569.0,,,,,,,11.0,,MIA_OG_01,OG,,,,,20.0,,,,,,,,,36.0,461.0,187.0,,,,,,,3.0,,,2026,1030.0,,16.0,,,,MIA,,,,,,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,8.0,,30.0,,,,,,,,,,,1234.1,504.0,,,,,,,7.0,,MIA_OG_02,OG,,,,,44.0,,,,,,,,,50.0,410.0,163.0,,,,,,,6.0,,,2026,914.0,,14.0,,,,MIA,,,,,,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,2.0,,10.0,,,,,,,,,,,1222.6,476.0,,,,,,,10.0,,MIA_C_01,C,,,,,16.0,,,,,,,,,35.0,388.0,147.0,,,,,,,5.0,,,2026,864.0,,13.0,,,,MIA,,,,,,,,,,,,
26.0,1.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,3.0,,,,16.0,,,,14.0,,,,,,,,2.0,,,,,,,386.0,2.25,,,,3.0,,MIA_EDGE_01,EDGE,,,,28.0,,,4.0,,,,,,,,,,27.0,,,,,11.0,,,,2026,676.0,21.0,,47.0,,,MIA,10.0,,,,,,,,,,,
23.0,2.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,2.0,,,,15.0,,,,13.0,,,,,,,,10.0,,,,,,,353.0,1.95,,,,1.0,,MIA_EDGE_02,EDGE,,,,25.0,,,7.0,,,,,,,,,,28.0,,,,,9.0,,,,2026,625.0,21.0,,44.0,,,MIA,10.0,,,,,,,,,,,
19.0,5.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,2.0,,,,12.0,,,,13.0,,,,,,,,2.0,,,,,,,302.0,1.44,,,,3.0,,MIA_EDGE_04,EDGE,,,,23.0,,,7.0,,,,,,,,,,18.0,,,,,3.0,,,,2026,531.0,19.0,,38.0,,,MIA,5.0,,,,,,,,,,,
21.0,1.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,0.0,,,,16.0,,,,15.0,,,,,,,,4.0,,,,,,,380.0,1.9,,,,5.0,,MIA_EDGE_03,EDGE,,,,28.0,,,9.0,,,,,,,,,,19.0,,,,,4.0,,,,2026,665.0,18.0,,39.0,,,MIA,6.0,,,,,,,,,,,
29.0,4.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,1.0,,,,17.0,,,,17.0,,,,,,,,2.0,,,,,,,353.0,2.27,,,,2.0,,MIA_DT_01,DT,,,,24.0,,,5.0,,,,,,,,,,21.0,,,,,3.0,,,,2026,620.0,26.0,,55.0,,,MIA,5.0,,,,,,,,,,,
20.0,1.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,1.0,,,,13.0,,,,14.0,,,,,,,,0.0,,,,,,,279.0,1.72,,,,2.0,,MIA_DT_04,DT,,,,22.0,,,6.0,,,,,,,,,,21.0,,,,,2.0,,,,2026,491.0,14.0,,34.0,,,MIA,3.0,,,,,,,,,,,
19.0,4.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,3.0,,,,17.0,,,,15.0,,,,,,,,1.0,,,,,,,361.0,2.04,,,,3.0,,MIA_DT_02,DT,,,,28.0,,,12.0,,,,,,,,,,16.0,,,,,1.0,,,,2026,635.0,12.0,,31.0,,,MIA,3.0,,,,,,,,,,,
,,,85.0,,,REGULAR_SEASON,,,,521.0,,,,,,,,,,,,,,,,,,,7.0,,,15.0,,,,,,,,2.0,,,,8.0,,,,,,2.0,,,,,1369.2,4.0,,MIA_LB_03,LB,,,,12.0,,,,,47.0,,,,,,,,12.0,,,,,1.0,,,,2026,676.0,42.0,,67.0,67.0,2.0,MIA,6.0,,,,,,,,,586.0,,17.05
,,,102.0,,,REGULAR_SEASON,,,,555.0,,,,,,,,,,,,,,,,,,,10.0,,,16.0,,,,,,,,1.0,,,,6.0,,,,,,6.0,,,,,1334.2,2.0,,MIA_LB_05,LB,,,,18.0,,,,,33.0,,,,,,,,14.0,,,,,4.0,,,,2026,721.0,73.0,,111.0,57.0,3.0,MIA,26.0,,,,,,,,,448.0,,12.85
,,,105.0,,,REGULAR_SEASON,,,,568.0,,,,,,,,,,,,,,,,,,,4.0,,,17.0,,,,,,,,1.0,,,,10.0,,,,,,1.0,,,,,1616.1,2.0,,MIA_LB_04,LB,,,,12.0,,,,,65.0,,,,,,,,12.0,,,,,0.0,,,,2026,739.0,56.0,,90.0,90.0,3.0,MIA,18.0,,,,,,,,,742.0,,22.33
,,,,,,REGULAR_SEASON,,,,530.0,,,,,,,,,,,,,,,,,,,9.0,,,14.0,,,,,,,,0.0,,,,2.0,,,,,,5.0,,,,,1180.1,1.0,,MIA_CB_03,CB,,,,,,,,,28.0,,,,,,,,9.0,,,,,,,,,2026,689.0,44.0,,69.0,53.0,3.0,MIA,,,,,,,,,,335.0,,8.67
,,,,,,REGULAR_SEASON,,,,512.0,,,,,,,,,,,,,,,,,,,9.0,,,13.0,,,,,,,,3.0,,,,8.0,,,,,,4.0,,,,,948.9,4.0,,MIA_CB_01,CB,,,,,,,,,32.0,,,,,,,,8.0,,,,,,,,,2026,662.0,27.0,,47.0,61.0,3.0,MIA,,,,,,,,,,375.0,,9.52
,,,,,,REGULAR_SEASON,,,,675.0,,,,,,,,,,,,,,,,,,,12.0,,,17.0,,,,,,,,0.0,,,,6.0,,,,,,6.0,,,,,1375.0,5.0,,MIA_CB_02,CB,,,,,,,,,32.0,,,,,,,,15.0,,,,,,,,,2026,874.0,34.0,,54.0,57.0,0.0,MIA,,,,,,,,,,442.0,,11.19
,,,,,,REGULAR_SEASON,,,,581.0,,,,,,,,,,,,,,,,,,,7.0,,,16.0,,,,,,,,0.0,,,,3.0,,,,,,4.0,,,,,1291.3,3.0,,MIA_CB_05,CB,,,,,,,,,33.0,,,,,,,,9.0,,,,,,,,,2026,756.0,37.0,,62.0,57.0,1.0,MIA,,,,,,,,,,378.0,,10.54
,,,,,,REGULAR_SEASON,,,,544.0,,,,,,,,,,,,,,,,,,,12.0,,,14.0,,,,,,,,0.0,,,,4.0,,,,,,5.0,,,,,1328.2,3.0,,MIA_S_02,S,,,,,,,,,38.0,,,,,,,,7.0,,,,,,,,,2026,706.0,26.0,,46.0,53.0,1.0,MIA,,,,,,,,,,468.0,,12.15
,,,,,,REGULAR_SEASON,,,,686.0,,,,,,,,,,,,,,,,,,,8.0,,,17.0,,,,,,,,0.0,,,,9.0,,,,,,0.0,,,,,1605.4,5.0,,MIA_S_03,S,,,,,,,,,63.0,,,,,,,,12.0,,,,,,,,,2026,890.0,48.0,,75.0,94.0,5.0,MIA,,,,,,,,,,683.0,,16.94
,,,,,,REGULAR_SEASON,,,,676.0,,,,,,,,,,,,,,,,,,,7.0,,,17.0,,,,,,,,0.0,,,,3.0,,,,,,5.0,,,,,1462.2,6.0,,MIA_S_04,S,,,,,,,,,38.0,,,,,,,,11.0,,,,,,,,,2026,876.0,38.0,,66.0,65.0,2.0,MIA,,,,,,,,,,440.0,,11.17
,,,,,,REGULAR_SEASON,,,,,,,,,,,20.0,7.0,5.0,7.0,11.0,15.0,7.0,4.0,5.0,10.0,,,,,,17.0,,1.0,,,,,,,69.0,,457.0,,,,,,,,,,,,,,,MIA_K_01,K,,,,,,,,,,,,,,,,,,,,,,,,,,2026,102.0,,,,,,MIA,,,48.0,,,39.0,39.0,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2763.0,,,,,10.0,28.0,,,862.0,,,,2515.0,,,,,,,,,,,,MIA_P_01,P,,,,,,59.0,,,,,,248.0,,,,,,,,,,,,,,2026,80.0,,,,,,MIA,,,6.0,,,,,,,,,
,,24.0,,,380.0,REGULAR_SEASON,343.0,,,,60.0,22.0,,,23.0,,,,,,,,,,,,169.0,,,3.0,2.0,17.0,,,,,,,,12.0,,,,,,,549.0,,,,,,10.0,3267.0,,,140.0,NE_QB_01,QB,169.0,63.0,645.0,,,,,,,,,,,,,,,58.0,,272.0,295.0,,,46.0,36.0,2026,1087.0,,17.0,,,,NE,,32.0,,39.0,,,,,,,,
,,,,5.0,,REGULAR_SEASON,,9.0,15.0,,,,20.0,5.0,,6.0,,,,,,,,,,,29.0,,,1.0,,5.0,,,,,,,,,,,,,2.0,,,,31.0,,,,,,,,,NE_RB_01,RB,,,,,1.0,,,58.0,,,544.0,,51.0,,14.0,,,70.0,4.0,338.0,,,,,,2026,155.0,,,,88.0,,NE,,,,,,,,198.0,141.0,,197.0,
,,,,15.0,,REGULAR_SEASON,,28.0,72.0,,,,61.0,29.0,,19.0,,,,,,,,,,,121.0,,,2.0,,17.0,,,,,,,,,,,,,6.0,,,,90.0,,,,,,,,,NE_RB_03,RB,,,,,8.0,,,242.0,,,2326.0,,179.0,,44.0,,,332.0,4.0,1333.0,,,,,,2026,537.0,,,,393.0,,NE,,,,,,,,941.0,522.0,,829.0,
,,,,5.0,,REGULAR_SEASON,,4.0,7.0,,,,9.0,4.0,,5.0,,,,,,,,,,,15.0,,,0.0,,9.0,,,,,,,,,,,,,4.0,,,,49.0,,,,,,,,,NE_RB_02,RB,,,,,5.0,,,35.0,,,385.0,,58.0,,13.0,,,51.0,,230.0,,,,,,2026,178.0,,,,57.0,,NE,,,,,,,,163.0,85.0,,145.0,
,,,,,,REGULAR_SEASON,,7.0,22.0,,,,28.0,5.0,,,,,,,,,,,,,30.0,,,,,17.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,NE_WR_01,WR,,,,,,,,71.0,,,773.0,,657.0,,223.0,,,,,,,,,,,2026,773.0,,,,143.0,,NE,,,,,,,,314.0,,,,
,,,,,,REGULAR_SEASON,,7.0,14.0,,,,21.0,3.0,,,,,,,,,,,,,18.0,,,,,17.0,,,,,,,,,,,,,13.0,,,,,,,,,,,,,NE_WR_03,WR,,,,,,,,51.0,,2.0,528.0,,616.0,,210.0,,,,,,,,,,,2026,728.0,,,,94.0,,NE,,,,,,,,235.0,,,,
,,,,,,REGULAR_SEASON,,2.0,6.0,,,,3.0,3.0,,,,,,,,,,,,,2.0,,,,,17.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,NE_WR_06,WR,,,,,,,,19.0,,,240.0,,654.0,,224.0,,,,,,,,,,,2026,770.0,,,,40.0,,NE,,,,,,,,108.0,,,,
,,,,,,REGULAR_SEASON,,0.0,0.0,,,,1.0,0.0,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,NE_WR_04,WR,,,,,,,,1.0,,,16.0,,39.0,,13.0,,,,,,,,,,,2026,46.0,,,,2.0,,NE,,,,,,,,1.0,,,,
,,,,,,REGULAR_SEASON,,13.0,29.0,,,,9.0,6.0,,,,,,,,,,,,,17.0,,,,,17.0,,,,,,,,,,,,,13.0,,,,,,,,,,,,,NE_TE_01,TE,,,,,,,,52.0,,,590.0,,581.0,,199.0,,,,,,,,,,,2026,687.0,,,,108.0,,NE,,,,,,,,220.0,,,,
,,,,,,REGULAR_SEASON,,1.0,3.0,,,,7.0,3.0,,,,,,,,,,,,,0.0,,,,,16.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,NE_TE_03,TE,,,,,,,,12.0,,,169.0,,535.0,,182.0,,,,,,,,,,,2026,632.0,,,,27.0,,NE,,,,,,,,63.0,,,,
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,8.0,,19.0,,,,,,,,,,,1562.0,605.0,,,,,,,13.0,,NE_OT_02,OT,,,,,33.0,,,,,,,,,59.0,493.0,178.0,,,,,,,7.0,,,2026,1098.0,,17.0,,,,NE,,,,,,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,4.0,,11.0,,,,,,,,,,,1230.0,463.0,,,,,,,7.0,,NE_OT_03,OT,,,,,18.0,,,,,,,,,34.0,376.0,151.0,,,,,,,3.0,,,2026,839.0,,13.0,,,,NE,,,,,,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,4.0,,20.0,,,,,,,,,,,1553.4,608.0,,,,,,,4.0,,NE_OG_01,OG,,,,,31.0,,,,,,,,,44.0,495.0,206.0,,,,,,,8.0,,,2026,1103.0,,17.0,,,,NE,,,,,,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,3.0,,21.0,,,,,,,,,,,1567.8,624.0,,,,,,,9.0,,NE_OG_02,OG,,,,,31.0,,,,,,,,,53.0,507.0,198.0,,,,,,,7.0,,,2026,1131.0,,17.0,,,,NE,,,,,,,,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,8.0,,16.0,,,,,,,,,,,1562.0,615.0,,,,,,,12.0,,NE_C_01,C,,,,,30.0,,,,,,,,,40.0,497.0,206.0,,,,,,,8.0,,,2026,1112.0,,17.0,,,,NE,,,,,,,,,,,,
25.0,2.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,3.0,,,,17.0,,,,18.0,,,,,,,,4.0,,,,,,,426.0,2.33,,,,3.0,,NE_EDGE_01,EDGE,,,,35.0,,,13.0,,,,,,,,,,29.0,,,,,8.0,,,,2026,749.0,22.0,,47.0,,,NE,10.0,,,,,,,,,,,
11.0,2.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,0.0,,,,7.0,,,,10.0,,,,,,,,1.0,,,,,,,176.0,0.9,,,,3.0,,NE_EDGE_02,EDGE,,,,16.0,,,3.0,,,,,,,,,,13.0,,,,,3.0,,,,2026,308.0,8.0,,19.0,,,NE,4.0,,,,,,,,,,,
29.0,1.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,2.0,,,,16.0,,,,11.0,,,,,,,,7.0,,,,,,,392.0,1.69,,,,6.0,,NE_EDGE_04,EDGE,,,,19.0,,,8.0,,,,,,,,,,18.0,,,,,2.0,,,,2026,692.0,27.0,,56.0,,,NE,4.0,,,,,,,,,,,
26.0,2.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,1.0,,,,17.0,,,,30.0,,,,,,,,6.0,,,,,,,442.0,2.17,,,,2.0,,NE_EDGE_03,EDGE,,,,39.0,,,6.0,,,,,,,,,,18.0,,,,,3.0,,,,2026,780.0,26.0,,52.0,,,NE,7.0,,,,,,,,,,,
21.0,0.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,0.0,,,,11.0,,,,15.0,,,,,,,,5.0,,,,,,,245.0,1.65,,,,1.0,,NE_DT_01,DT,,,,23.0,,,5.0,,,,,,,,,,23.0,,,,,5.0,,,,2026,434.0,17.0,,38.0,,,NE,11.0,,,,,,,,,,,
22.0,4.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,2.0,,,,15.0,,,,13.0,,,,,,,,4.0,,,,,,,328.0,1.72,,,,4.0,,NE_DT_03,DT,,,,20.0,,,5.0,,,,,,,,,,21.0,,,,,2.0,,,,2026,580.0,22.0,,44.0,,,NE,4.0,,,,,,,,,,,
21.0,1.0,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,2.0,,,,14.0,,,,17.0,,,,,,,,0.0,,,,,,,314.0,1.89,,,,1.0,,NE_DT_04,DT,,,,23.0,,,5.0,,,,,,,,,,19.0,,,,,1.0,,,,2026,551.0,15.0,,36.0,,,NE,7.0,,,,,,,,,,,
,,,95.0,,,REGULAR_SEASON,,,,589.0,,,,,,,,,,,,,,,,,,,15.0,,,17.0,,,,,,,,1.0,,,,7.0,,,,,,10.0,,,,,1471.9,3.0,,NE_LB_01,LB,,,,7.0,,,,,37.0,,,,,,,,13.0,,,,,0.0,,,,2026,767.0,52.0,,80.0,57.0,3.0,NE,15.0,,,,,,,,,497.0,,15.03
,,,109.0,,,REGULAR_SEASON,,,,633.0,,,,,,,,,,,,,,,,,,,6.0,,,17.0,,,,,,,,2.0,,,,6.0,,,,,,4.0,,,,,1160.0,3.0,,NE_LB_04,LB,,,,12.0,,,,,31.0,,,,,,,,11.0,,,,,0.0,,,,2026,821.0,54.0,,87.0,58.0,2.0,NE,17.0,,,,,,,,,315.0,,8.47
,,,103.0,,,REGULAR_SEASON,,,,591.0,,,,,,,,,,,,,,,,,,,16.0,,,17.0,,,,,,,,2.0,,,,9.0,,,,,,7.0,,,,,1496.0,10.0,,NE_LB_02,LB,,,,14.0,,,,,46.0,,,,,,,,10.0,,,,,4.0,,,,2026,768.0,65.0,,101.0,70.0,4.0,NE,11.0,,,,,,,,,518.0,,15.08
,,,,,,REGULAR_SEASON,,,,638.0,,,,,,,,,,,,,,,,,,,12.0,,,17.0,,,,,,,,2.0,,,,7.0,,,,,,3.0,,,,,1490.4,3.0,,NE_CB_03,CB,,,,,,,,,46.0,,,,,,,,10.0,,,,,,,,,2026,829.0,44.0,,72.0,67.0,2.0,NE,,,,,,,,,,601.0,,16.41
,,,,,,REGULAR_SEASON,,,,655.0,,,,,,,,,,,,,,,,,,,16.0,,,17.0,,,,,,,,2.0,,,,12.0,,,,,,2.0,,,,,1629.2,10.0,,NE_CB_04,CB,,,,,,,,,59.0,,,,,,,,10.0,,,,,,,,,2026,851.0,37.0,,64.0,79.0,3.0,NE,,,,,,,,,,676.0,,17.34
,,,,,,REGULAR_SEASON,,,,606.0,,,,,,,,,,,,,,,,,,,8.0,,,16.0,,,,,,,,1.0,,,,6.0,,,,,,4.0,,,,,1335.2,1.0,,NE_CB_01,CB,,,,,,,,,46.0,,,,,,,,7.0,,,,,,,,,2026,783.0,33.0,,57.0,72.0,3.0,NE,,,,,,,,,,482.0,,12.62
,,,,,,REGULAR_SEASON,,,,629.0,,,,,,,,,,,,,,,,,,,8.0,,,17.0,,,,,,,,0.0,,,,8.0,,,,,,3.0,,,,,1641.0,4.0,,NE_CB_02,CB,,,,,,,,,61.0,,,,,,,,8.0,,,,,,,,,2026,819.0,41.0,,68.0,84.0,3.0,NE,,,,,,,,,,652.0,,17.7
,,,,,,REGULAR_SEASON,,,,670.0,,,,,,,,,,,,,,,,,,,16.0,,,17.0,,,,,,,,1.0,,,,13.0,,,,,,8.0,,,,,1609.0,4.0,,NE_S_03,S,,,,,,,,,48.0,,,,,,,,11.0,,,,,,,,,2026,872.0,40.0,,71.0,74.0,4.0,NE,,,,,,,,,,633.0,,15.87
,,,,,,REGULAR_SEASON,,,,685.0,,,,,,,,,,,,,,,,,,,14.0,,,17.0,,,,,,,,0.0,,,,4.0,,,,,,8.0,,,,,1372.9,8.0,,NE_S_02,S,,,,,,,,,38.0,,,,,,,,11.0,,,,,,,,,2026,887.0,40.0,,66.0,58.0,1.0,NE,,,,,,,,,,433.0,,10.77
,,,,,,REGULAR_SEASON,,,,659.0,,,,,,,,,,,,,,,,,,,9.0,,,17.0,,,,,,,,1.0,,,,11.0,,,,,,4.0,,,,,1750.8,7.0,,NE_S_01,S,,,,,,,,,60.0,,,,,,,,12.0,,,,,,,,,2026,856.0,38.0,,67.0,79.0,4.0,NE,,,,,,,,,,756.0,,19.73
,,,,,,REGULAR_SEASON,,,,,,,,,,,24.0,8.0,4.0,6.0,5.0,23.0,7.0,3.0,5.0,4.0,,,,,,17.0,,1.0,,,,,,,70.0,,685.0,,,,,,,,,,,,,,,NE_K_01,K,,,,,,,,,,,,,,,,,,,,,,,,,,2026,102.0,,,,,,NE,,,42.0,,,32.0,32.0,,,,,
,,,,,,REGULAR_SEASON,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2453.0,,,,,9.0,21.0,,,791.0,,,,2277.0,,,,,,,,,,,,NE_P_01,P,,,,,,52.0,,,,,,176.0,,,,,,,,,,,,,,2026,70.0,,,,,,NE,,,6.0,,,,,,,,,
,,69.0,,,378.0,REGULAR_SEASON,356.0,,,,48.0,28.0,,,37.0,,,,,,,,,,,,162.0,,,0.0,0.0,17.0,,,,,,,,14.0,,,,,,,538.0,,,,,,27.0,4034.0,,,136.0,CHI_QB_01,QB,160.0,80.0,744.0,,,,,,,,,,,,,,,58.0,,268.0,296.0,,,44.0,35.0,2026,1083.0,,17.0,,,,CHI,,27.0,,9.0,,,,,,,,
,,,,31.0,,REGULAR_SEASON,,28.0,61.0,,,,45.0,20.0,,18.0,,,,,,,,,,,91.0,,,4.0,,17.0,,,,,,,,,,,,,5.0,,,,90.0,,,,,,,,,CHI_RB_01,RB,,,,,4.0,,,198.0,,,2330.0,,172.0,,44.0,,,265.0,16.0,1056.0,,,,,,2026,518.0,,,,304.0,,CHI,,,,,,,,1046.0,407.0,,657.0,
